Feature,Gain,Cover,Frequency
ntl_sum_built_lag1,0.1392829162111821,0.04972154749121788,0.03929554210236654
ntl_sum_built_lag7,0.09134895750283803,0.03830420308308778,0.034268941478627774
ntl_sum_built_lag14,0.07113826691983889,0.033260978988629016,0.035002751788662634
ntl_sum_built_lag2,0.04375204511559009,0.027545719006889607,0.02847184002935241
nb_mean_ntl_sum_built_lag1,0.04031067600034758,0.04729240007479288,0.0432948082920565
min_dew_lag1,0.03660965164494579,0.016195746141054273,0.01625389836727206
min_temp_lag1,0.03548255667811021,0.016129997642929283,0.013061823518620437
atm_lag7,0.03062995303836801,0.03972089250455951,0.03393872683911209
min_temp_lag7,0.029432706485381956,0.018600868375541854,0.013171895065125665
max_dew_lag1,0.028334007840901947,0.013440424424377378,0.015666850119244177
doy_cos,0.026508641233612622,0.0317320822444538,0.02120711796000734
atm_lag1,0.02648334871811066,0.028812091072541665,0.03225096312603192
nb_mean_ntl_mean_built_lag1,0.02343162573542973,0.023839648651334096,0.027627958172812328
lai_high_lag1,0.021949410201380484,0.029580881685289634,0.030489818381948267
nb_mean_ntl_mean_built_lag7,0.021493158757516416,0.024329755844607646,0.0270042194092827
lai_high_lag7,0.020350100655695195,0.02932547928091441,0.02645386167675656
dew_lag1,0.019158994774764064,0.011118334913410412,0.012768299394606494
lai_low_lag7,0.018809582207950294,0.024607405035133187,0.027040909924784442
rain_lag1,0.018605906516335338,0.020671581587684586,0.020509998165474226
lai_low_lag1,0.01853424466120033,0.023644405345985154,0.02715098147128967
ntl_mean_built_lag7,0.013085480707952298,0.010102780749860195,0.015850302696752888
ntl_mean_built_lag1,0.010837652680333267,0.011178930735165104,0.015666850119244177
ntl_mean_built_lag14,0.010492589688194937,0.0175615019595437,0.017501375894331317
doy_sin,0.010393813198437176,0.0227442959024784,0.018528710328380115
wind_u_lag1,0.009627129638430794,0.020621180308425968,0.019042377545404512
doy,0.009387505463176023,0.02366857936129021,0.017134470739313887
ntl_sd_built_lag14,0.00931373331327074,0.01766246421517804,0.018675472390387086
wind_u_lag7,0.008505721446593175,0.017767600323356066,0.018418638781874885
ntl_sd_built_lag1,0.008116499822070494,0.020311554757731044,0.015886993212254633
wind_v_lag1,0.008002777383897207,0.015287365038706393,0.01702439919280866
wsp_lag1,0.00792743781969447,0.0147046487267606,0.017868281049348744
wdr_lag7,0.007755948817405434,0.018952015176684343,0.017831590533847
ntl_mean_built_lag2,0.007735805094598293,0.012813189553507178,0.014199229499174463
wdr_lag1,0.007483666095812277,0.0089958157392035,0.01819849568886443
rh_lag1,0.007477375213220511,0.01063433206096012,0.015189873417721518
ntl_sd_built_lag7,0.007233138594850832,0.016186238187524262,0.01559346908824069
rh_lag7,0.0070573547141144465,0.011657567981755622,0.01610713630526509
rain_lag7,0.00702150337750661,0.010935344831080782,0.015850302696752888
min_dew_lag7,0.006946225040424866,0.008950632318811958,0.01232801320858558
wind_v_lag7,0.006730652102839094,0.01676352805661329,0.015886993212254633
max_temp_lag1,0.006520414088395963,0.020968689926248243,0.014089157952669235
year,0.006468144087022282,0.011220286856620833,0.008365437534397358
wsp_lag7,0.006419425258666273,0.010020068506948736,0.01621720785177032
skin_temp_lag1,0.0061420268070236355,0.010055541908070254,0.010420106402494954
max_dew_lag7,0.006122135748135799,0.012354455782307813,0.012107870115575124
ntl_sd_built_lag2,0.005791589298204421,0.012009891326964953,0.013465419189139608
max_temp_lag7,0.004989592792074147,0.011255900400110423,0.011594202898550725
dew_lag7,0.004967171828546823,0.008635199550841592,0.01023665382498624
temp_lag1,0.004102939994829828,0.011379375603756929,0.009612915061456614
skin_temp_lag7,0.003986970521316048,0.010152079358548319,0.009502843514951386
temp_lag7,0.0031734222942677703,0.00695753244877023,0.0082920565033938725
dow_num,0.0020842299766837464,0.006150743156338071,0.0055769583562649055
month_cos,0.0020687862517745357,0.004764964904400874,0.0024215740231150248
month_sin,0.0012428801467151622,0.0024170585076163102,0.0024582645386167674
dow_sin,0.0011240691225160339,0.002702155069992473,0.003338836910658595
dow_cos,8.190257583602343e-4,7.006484232256748e-4,0.0017244542285819115
month,5.047907236877592e-4,6.197525992244303e-4,0.0011374059805540268
is_weekend,1.9826223193399062e-4,8.114970982619472e-4,2.568336085121996e-4
is_public_holiday,1.739781526261096e-4,3.5679982107399204e-4,4.035956705191708e-4
is_holiday,1.731706434340954e-4,3.135657986759335e-4,4.7697670152265637e-4
clim_n_obs,1.2208520827255195e-4,7.70592840885445e-4,4.7697670152265637e-4
has_weather,2.612795319010113e-5,9.190732045693607e-6,1.100715465052284e-4
