Feature,Gain,Cover,Frequency
ntl_sum_built_lag1,0.18165233796345406,0.075354888457167285,0.061608349602042346
ntl_sum_built_lag7,0.12154727556568538,0.060893460197759,0.05781648896230665
ntl_sum_built_lag2,0.07941406691100401,0.0557333775630644,0.05143414927166241
ntl_sum_built_lag14,0.0765439981223856,0.055197741226736624,0.06085748610902538
doy_cos,0.0713237577514254,0.05475250943230803,0.04711668418681484
nb_mean_ntl_sum_built_lag1,0.06931011479785455,0.08675372267585107,0.09269409821294489
nb_mean_ntl_mean_built_lag1,0.05298214364801379,0.057518006759621196,0.06434900135155429
nb_mean_ntl_mean_built_lag7,0.04936119457222054,0.05783802184125403,0.06592581468688992
doy,0.03261501531465639,0.060094266507406714,0.043925514341492715
ntl_mean_built_lag1,0.03230208807729777,0.039275408632292584,0.04711668418681484
ntl_mean_built_lag7,0.02904107688542278,0.03337141035589376,0.042649046403363866
doy_sin,0.025749943432569294,0.04840591035600385,0.038031235921309504
ntl_mean_built_lag14,0.025674284876779124,0.04397354606044716,0.04602793212194023
ntl_sd_built_lag14,0.02567398294836265,0.052148251711830636,0.048130349902387744
ntl_mean_built_lag2,0.023934167502217194,0.03808842652793552,0.03911998798618411
ntl_sd_built_lag7,0.021811249988772784,0.04356556728581649,0.04321219402312659
ntl_sd_built_lag1,0.021589450237113235,0.042786862756353065,0.042949391800570655
ntl_sd_built_lag2,0.020088969917672346,0.045426937703157005,0.040696801321519746
year,0.015025759771315872,0.01422032070046565,0.0197477098663463
month_cos,0.00563859209073883,0.004738721391793027,0.005368673975071332
dow_num,0.004939513603161,0.008581675490061282,0.011563297792461331
month_sin,0.004583307181961254,0.005424548516142036,0.007320919056915453
dow_sin,0.0030233859308861134,0.0042844101439194135,0.00908544826550533
month,0.0025368395610414225,0.0024098284863807726,0.003378885718576363
dow_cos,0.0015632228579150129,0.0024736196746637743,0.004279921910196726
is_holiday,7.901420708137551e-4,6.190555732158321e-4,0.0021024177804475144
clim_n_obs,5.744933141565986e-4,0.0038793478247774777,0.0015392701606847874
is_public_holiday,5.577691879270252e-4,0.001593158376102719,0.0015392701606847874
is_weekend,1.5185591717623514e-4,5.969977715795925e-4,4.1297492115933325e-4
