Feature,Gain,Cover,Frequency
ntl_sum_built_lag1,0.19683085525416444,0.08215821964130925,0.07172504751929866
ntl_sum_built_lag7,0.1330163727151474,0.06743349710932037,0.06924240661003142
ntl_sum_built_lag14,0.10497455327283649,0.07015577981492947,0.07343186314441988
ntl_sum_built_lag2,0.08929000977655996,0.0654752460777825,0.06633306179448388
doy_cos,0.07297749524415913,0.06334002214424417,0.05558788160906164
ntl_mean_built_lag1,0.04276017429688326,0.05644569575563269,0.06516932386826486
doy,0.0412404975590752,0.06918959063357308,0.054695682532293725
ntl_mean_built_lag7,0.038911855406817714,0.0567924353887913,0.0600100857286939
ntl_mean_built_lag2,0.037336199034947025,0.057395223441365974,0.0603592071065596
ntl_mean_built_lag14,0.036165031955107445,0.058536391620162255,0.062066022731680826
doy_sin,0.03432926695106313,0.06017125648698484,0.048683036580162146
ntl_sd_built_lag14,0.03365156306720549,0.06695833374568834,0.06493657628302106
ntl_sd_built_lag1,0.02814497043442088,0.06119666722327697,0.056208541836378446
ntl_sd_built_lag2,0.026804529931631602,0.057438031351523776,0.054385352418635326
ntl_sd_built_lag7,0.026318101503810372,0.0526081841268466,0.05461810000387913
year,0.0189569661940907,0.016396335910694254,0.02486520035687963
month_cos,0.014263547764506886,0.005686225071772587,0.007486713992009
dow_num,0.0059682391417545215,0.009767832328001992,0.014779471662981497
month_sin,0.0051824385274536425,0.006298661273386343,0.009736607316032429
month,0.004760671800921136,0.003642651386777046,0.004965281818534466
dow_sin,0.004153209418667518,0.005233340077302039,0.010706388921214942
dow_cos,0.0022332728922831646,0.0036011280468579462,0.005857480895302378
is_holiday,7.892428904333387e-4,9.693663887394586e-4,0.0019395632103650258
is_public_holiday,7.073824979529615e-4,0.0024046854303172867,0.0017843981535358238
is_weekend,2.335524681066274e-4,7.051995247194852e-4,4.267039062803057e-4
