Feature,Gain,Cover,Frequency
ntl_sum_built_lag1,0.18029323615217643,0.06716433617604461,0.06129938213817637
ntl_sum_built_lag7,0.13391372252386938,0.0631871465472238,0.05804156524995319
ntl_sum_built_lag2,0.07511273927463462,0.0584693406787127,0.052087624040441864
doy_cos,0.07128104767197098,0.05555516362889758,0.04781876053173563
ntl_sum_built_lag14,0.06972339205118547,0.052086755541295826,0.05886538101479124
nb_mean_ntl_sum_built_lag1,0.069001474245686,0.08271227508936528,0.09320351994008613
nb_mean_ntl_mean_built_lag1,0.055073018583928185,0.05302875171057738,0.06496910690881857
nb_mean_ntl_mean_built_lag7,0.047083578084676406,0.05874468994509458,0.0636210447481745
ntl_mean_built_lag1,0.032151115024811494,0.03806618494134264,0.047107283280284594
doy,0.030534678057104435,0.051989892780076014,0.04040441864819322
ntl_mean_built_lag7,0.03006972909020666,0.038980114951068186,0.043849466392061415
doy_sin,0.027418369290087084,0.05043907654368627,0.0399925107657742
ntl_sd_built_lag14,0.026128920378236734,0.05272480117410913,0.04830556075641266
ntl_mean_built_lag14,0.025713957647090925,0.04806342620087554,0.047781314360606626
ntl_mean_built_lag2,0.02548828322391895,0.04175624899450118,0.04227672720464332
ntl_sd_built_lag1,0.020968625026321182,0.045857149973760634,0.042426511889159337
ntl_sd_built_lag7,0.020786458814398272,0.04750698492394178,0.04377457404980341
ntl_sd_built_lag2,0.02064122068031758,0.04762698539918076,0.04126568058416027
year,0.014822950278555801,0.013811215390772685,0.01891031642014604
month_cos,0.006072146518753273,0.004744593870033995,0.0047556637333832615
dow_num,0.004279309546747664,0.008706754357355904,0.011121512825313611
month_sin,0.003977935853084037,0.005031089333658724,0.00655307994757536
dow_sin,0.003059860461278734,0.005031812023695647,0.00872495787305748
month,0.002809928300702537,0.002733022020173998,0.003669724770642202
dow_cos,0.002155529271581634,0.0023591239581702617,0.005579479498221307
is_holiday,7.172729549129086e-4,4.923461895917258e-4,0.001834862385321101
is_public_holiday,5.033375272932341e-4,0.0025214352449774023,0.0014229545029020782
is_weekend,2.1816346646938564e-4,6.092824118157492e-4,3.3701554016101853e-4
