Feature,Gain,Cover,Frequency
ntl_sum_built_lag1,0.20959525603771917,0.08231430882406467,0.07269345526407564
ntl_sum_built_lag7,0.1321004287986498,0.06662168627653521,0.06893478513581586
ntl_sum_built_lag14,0.09844125458098524,0.06804333430022483,0.07579338939047545
ntl_sum_built_lag2,0.08275480793766131,0.07252653679900643,0.06664858371759601
doy_cos,0.07881410155148237,0.06565726619423531,0.056573797806796604
ntl_mean_built_lag1,0.04355761811708072,0.05601146281579977,0.06195993335141628
ntl_mean_built_lag7,0.04058459882401245,0.04826120864087614,0.060758708877436354
doy,0.03916735799267546,0.07218382680291768,0.05436509474173674
ntl_mean_built_lag14,0.03580968303647554,0.06203651239811002,0.061572441585616304
ntl_mean_built_lag2,0.03491852315330309,0.05576568336678077,0.06037121711163638
doy_sin,0.03359490427288402,0.05695685579071191,0.04696400201495718
ntl_sd_built_lag14,0.03349805443007405,0.0698818613984025,0.06552485759677606
ntl_sd_built_lag1,0.028019427675955833,0.06056977075909021,0.056457550277056616
ntl_sd_built_lag2,0.027362124198346972,0.058669554529237916,0.054210098035416744
ntl_sd_built_lag7,0.027191039385043747,0.05252209635915429,0.05537257333281668
year,0.019919569500810908,0.01600865536212608,0.026620684310458404
month_cos,0.011351970161434348,0.0055505576220917785,0.006742356724919595
dow_num,0.006433635102268405,0.011421630957792717,0.0149959313364591
month_sin,0.005323462208967754,0.00550349736035268,0.00848606967101949
dow_sin,0.004296460966584479,0.0038027622718229768,0.011043515325299338
month,0.0029876353184159965,0.003111338017020691,0.004262409423799744
dow_cos,0.0026497470105826,0.0022953830838598364,0.006083620723059635
is_holiday,8.574891403429167e-4,0.001504038873041031,0.002053706358739877
is_public_holiday,6.476667617619425e-4,0.002202709902957565,0.0012787228271399233
is_weekend,1.2318383648087224e-4,5.774612937869735e-4,2.3249505947998606e-4
