Feature,Gain,Cover,Frequency
min_temp_lag1,0.11943226610708627,0.02931506078900943,0.020849837954627297
atm_lag7,0.07359188499019748,0.07105722092870095,0.06146921137918617
atm_lag1,0.06631013301362705,0.05761579823157631,0.057904213179690314
lai_high_lag1,0.06261182803523217,0.06318835672645357,0.05412315448325531
lai_high_lag7,0.05609213638673889,0.06909313202498897,0.04875765214259993
lai_low_lag1,0.05295072826058117,0.0436133939275956,0.05178249909974793
lai_low_lag7,0.045168462546622344,0.038317337791566014,0.046849117752970834
doy_cos,0.03675802900520987,0.03617837278457676,0.025351098307526108
dew_lag1,0.03610590224271849,0.017875593150910134,0.018617212819589484
min_dew_lag1,0.03556725396939782,0.02441761358648664,0.02484695714800144
min_temp_lag7,0.035442264712189156,0.022971090695047797,0.017897011163125674
rain_lag1,0.02483292857940482,0.02782413206847116,0.02697155203456968
wind_u_lag1,0.022431971483858976,0.0268223929523425,0.030284479654303205
doy_sin,0.020167524647172863,0.032020371173152484,0.025243068059056534
wind_u_lag7,0.019542971331873382,0.01890544908217318,0.02715160244868563
wsp_lag1,0.018442821080411318,0.023454371556344177,0.02826791501620454
skin_temp_lag1,0.017764025522127885,0.03090222104999174,0.021714079942383866
wdr_lag7,0.016877750621355294,0.023695689645027357,0.02707958228303925
doy,0.016838090253706757,0.035350034734893496,0.024378826071299965
max_dew_lag1,0.01647495560893202,0.017127493322735096,0.02099387828592006
wsp_lag7,0.015885916001244643,0.01816317719672548,0.024990997479294202
wdr_lag1,0.015529617410034407,0.020031696435494906,0.02628736046092906
wind_v_lag1,0.014732505933658196,0.014813853353854732,0.02553114872164206
rh_lag7,0.014018377802714891,0.02160973656781394,0.02401872524306806
wind_v_lag7,0.013891721489928899,0.01576928525307971,0.02484695714800144
rh_lag1,0.013402099386984655,0.018154755045863762,0.02473892689953187
rain_lag7,0.012609850923563311,0.014845771225440483,0.023802664746128917
skin_temp_lag7,0.012341591082667509,0.026604457120011672,0.017716960749009723
year,0.011632972729028287,0.012542085176439548,0.010731004681310767
max_temp_lag7,0.011488680830751719,0.023885068557994243,0.020309686712279437
max_temp_lag1,0.010469517346802746,0.0178087454444176,0.019085343896290963
max_dew_lag7,0.009745396092647263,0.013379412698842942,0.017032769175369104
min_dew_lag7,0.009591822307270393,0.010605766677696884,0.0159164566078502
dew_lag7,0.008169780918631868,0.011619486599980943,0.012819589485055816
temp_lag7,0.008075979109088617,0.016359729775116034,0.013755851638458768
temp_lag1,0.007645848069297834,0.014524462473878199,0.013647821389989196
month_cos,0.004968649937983502,0.002405015964858175,0.0032409074540871445
dow_num,0.003498740568133463,0.008727782619256262,0.006625855239467051
month_sin,0.003160745305669913,0.0021743676101113837,0.003492978033849478
dow_sin,0.0018852802135967816,0.002023757624854517,0.0042131796903132875
dow_cos,0.0015739994144238307,9.949024579454975e-4,0.0028087864602088586
month,0.0012354051018322386,8.40001617621434e-4,0.0018005041411595247
is_public_holiday,3.8466639064057943e-4,6.944136664557226e-4,8.282319049333814e-4
is_weekend,3.2808420003658227e-4,0.001444684682659727,3.6010082823190496e-4
is_holiday,3.148069184937865e-4,2.3190127110294482e-4,7.922218221101909e-4
has_weather,1.4016116430055587e-5,5.566604398921099e-7,7.202016564638099e-5
