Feature,Gain,Cover,Frequency
ntl_sum_built_lag1,0.13863861593357926,0.04820063698434563,0.04079738659143218
ntl_sum_built_lag7,0.0996301108578024,0.03684598023252722,0.035303289034078256
ntl_sum_built_lag14,0.06652086096259392,0.03526155844658217,0.03975796272923009
ntl_sum_built_lag2,0.05291904907511552,0.032502462546930004,0.03389264236394684
min_temp_lag1,0.04097356402221231,0.018051513603775295,0.014626178632415176
min_dew_lag1,0.03859602533286742,0.01956749755110925,0.019229341450738735
atm_lag7,0.034599875234806926,0.04493305995045135,0.03797609325116935
atm_lag1,0.029217800719488,0.0355274441845986,0.035748756403593436
doy_cos,0.028188538154731446,0.03561758698141512,0.021790778825451034
min_temp_lag7,0.028093393641916372,0.01864313648092117,0.014366322666864653
lai_low_lag1,0.025551477659757564,0.03128517543629427,0.03385552008315391
dew_lag1,0.024653351389035332,0.012178560519583877,0.014960279159551563
lai_high_lag7,0.023761851164116485,0.0322704744238125,0.030291781127032444
max_dew_lag1,0.02339485919208071,0.015180685153641718,0.016705026356819364
lai_low_lag7,0.023391895261764405,0.024174596883912235,0.030700126215754697
lai_high_lag1,0.02275334114656329,0.032832351277208204,0.03192516148192145
rain_lag1,0.018969157381021624,0.02056938387861949,0.022124879352587425
ntl_mean_built_lag1,0.01618082231349396,0.019129599807930362,0.021345311455935854
ntl_mean_built_lag7,0.01595595633861322,0.01828461783693687,0.019637686539460984
ntl_mean_built_lag14,0.013436324379543178,0.01896793718681288,0.020602865840077214
doy_sin,0.012012756704603864,0.025270969959262774,0.020751354963248942
ntl_mean_built_lag2,0.01084488256516246,0.017422513723221917,0.017670205657435593
wind_u_lag1,0.010787389701676956,0.022999172355308073,0.020046031628183237
rh_lag1,0.009783670476359262,0.009566535370529912,0.016593659514440567
wind_u_lag7,0.009782016482403023,0.01854757167224285,0.019526319697082187
wsp_lag1,0.009717777572537908,0.015313185172168436,0.0201202761897691
ntl_sd_built_lag14,0.009448784113035711,0.017365964147655937,0.01800430618457198
wind_v_lag1,0.009347079009277013,0.01549112968270716,0.01997178706659737
ntl_sd_built_lag1,0.009187446354630814,0.023227881905171138,0.017670205657435593
doy,0.00908853650904981,0.02091261731099652,0.016742148637612295
ntl_sd_built_lag7,0.008476713151576791,0.01667927321535515,0.01685351547999109
wdr_lag1,0.008423668701060354,0.007478149208177313,0.019452075135496325
min_dew_lag7,0.0084154860044255,0.00885829379069267,0.013401143366248423
wind_v_lag7,0.008095175934871553,0.018810151357022693,0.01800430618457198
wdr_lag7,0.008071790927475031,0.014403425484801152,0.01818991758853664
year,0.00747041013762832,0.010500210040820556,0.009243447917440048
skin_temp_lag1,0.007428531614855024,0.014327918949244303,0.01295567599673324
ntl_sd_built_lag2,0.007374033730785969,0.017713988609227807,0.014923156878758632
rain_lag7,0.006968748148296055,0.010615133439998023,0.016630781795233498
wsp_lag7,0.006755272577760837,0.00981625125289847,0.017298982849506275
rh_lag7,0.006713282446060002,0.013868225352534434,0.015517113371445542
max_dew_lag7,0.006533004657313642,0.014140727424713602,0.013326898804662559
max_temp_lag1,0.006391531530426469,0.023145663912436436,0.014848912317172768
skin_temp_lag7,0.006361676142309709,0.01627766278859946,0.011062439676293712
dew_lag7,0.006112168510641543,0.010487296563056928,0.011062439676293712
max_temp_lag7,0.0055300419391250966,0.011300542325439483,0.012807186873561511
temp_lag1,0.005274094975836835,0.013063263747846372,0.010579850025985597
temp_lag7,0.0040707581486259066,0.01086088797724806,0.00946618160219764
dow_num,0.0021883563123853604,0.006438493759052798,0.005382730714975128
month_cos,0.002142292035246907,0.005441864563511481,0.002747048778676962
dow_sin,0.00129119161970707,0.0018189173253180437,0.004083450887222511
month_sin,0.001281368145962658,0.003596443455990549,0.003229638428985077
dow_cos,0.0012621124590938726,0.0013722924418478647,0.002598559655505234
month,0.0010864094825249289,5.766013676749624e-4,0.0014106466701314128
is_weekend,2.401307247534218e-4,8.611104745528517e-4,2.227336847575915e-4
clim_n_obs,2.3527987978200194e-4,8.7026665927692e-4,8.166901774445021e-4
is_public_holiday,1.7517581057602575e-4,4.5320415929160824e-4,5.197119311010468e-4
is_holiday,1.6763057766652125e-4,7.443096013788813e-5,5.197119311010468e-4
has_weather,3.645402338642607e-5,7.508726559187826e-6,1.1136684237879575e-4
