bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split
1,0,0.1,0.05,301754,0.020528714856209326,2.319770409007979e-4,equal_width,validation
2,0.1,0.2,0.15000000000000002,35217,0.14461732905470304,0.002101257915211528,equal_width,validation
3,0.2,0.30000000000000004,0.25,23266,0.24830550907553894,0.003094644545689052,equal_width,validation
4,0.30000000000000004,0.4,0.35000000000000003,19626,0.3486697782781234,0.005044328951391228,equal_width,validation
5,0.4,0.5,0.45,17502,0.44951938345233117,0.0072563135641641316,equal_width,validation
6,0.5,0.6000000000000001,0.55,15675,0.5483722322371207,0.009186602870813385,equal_width,validation
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,12849,0.6483688891671567,0.01509845124134181,equal_width,validation
8,0.7000000000000001,0.8,0.75,10077,0.7475099100105533,0.024412027389103794,equal_width,validation
9,0.8,0.9,0.8500000000000001,7466,0.8468193771163419,0.04085186177337261,equal_width,validation
10,0.9,1,0.95,3742,0.936439613665826,0.09727418492784613,equal_width,validation
1,0,0.1,0.05,906075,0.0207967856098226,3.035068840884132e-4,equal_width,test
2,0.1,0.2,0.15000000000000002,115745,0.1440051733044191,0.002030325284029359,equal_width,test
3,0.2,0.30000000000000004,0.25,70065,0.24749555992831707,0.0038678370084919175,equal_width,test
4,0.30000000000000004,0.4,0.35000000000000003,55235,0.3484267488894897,0.004960622793518595,equal_width,test
5,0.4,0.5,0.45,47514,0.4489315592196922,0.00793450351475328,equal_width,test
6,0.5,0.6000000000000001,0.55,40890,0.5490291960768843,0.01056493030080736,equal_width,test
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,34316,0.6481849719700882,0.015677817927497957,equal_width,test
8,0.7000000000000001,0.8,0.75,27871,0.7480591367667528,0.023106454737899913,equal_width,test
9,0.8,0.9,0.8500000000000001,23500,0.8485656560532588,0.04021276595744664,equal_width,test
10,0.9,1,0.95,12940,0.9376012815159657,0.10502318392581181,equal_width,test
