bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split,method
1,0,0.1,0.05,906075,0.0207967856098226,3.035068840884132e-4,equal_width,test,raw
2,0.1,0.2,0.15000000000000002,115745,0.1440051733044191,0.002030325284029359,equal_width,test,raw
3,0.2,0.30000000000000004,0.25,70065,0.24749555992831707,0.0038678370084919175,equal_width,test,raw
4,0.30000000000000004,0.4,0.35000000000000003,55235,0.3484267488894897,0.004960622793518595,equal_width,test,raw
5,0.4,0.5,0.45,47514,0.4489315592196922,0.00793450351475328,equal_width,test,raw
6,0.5,0.6000000000000001,0.55,40890,0.5490291960768843,0.01056493030080736,equal_width,test,raw
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,34316,0.6481849719700882,0.015677817927497957,equal_width,test,raw
8,0.7000000000000001,0.8,0.75,27871,0.7480591367667528,0.023106454737899913,equal_width,test,raw
9,0.8,0.9,0.8500000000000001,23500,0.8485656560532588,0.04021276595744664,equal_width,test,raw
10,0.9,1,0.95,12940,0.9376012815159657,0.10502318392581181,equal_width,test,raw
1,0,0.1,0.05,1328886,0.0035877929186755465,0.0034118803268342233,equal_width,test,platt
2,0.1,0.2,0.15000000000000002,4442,0.13474354697899005,0.1328230526789733,equal_width,test,platt
3,0.2,0.30000000000000004,0.25,692,0.23546256637837232,0.25,equal_width,test,platt
4,0.30000000000000004,0.4,0.35000000000000003,115,0.342302875323631,0.3565217391304348,equal_width,test,platt
5,0.4,0.5,0.45,16,0.4297809380914881,0.75,equal_width,test,platt
6,0.5,0.6000000000000001,0.55,0,0.55,NA,equal_width,test,platt
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,0.6500000000000001,NA,equal_width,test,platt
8,0.7000000000000001,0.8,0.75,0,0.75,NA,equal_width,test,platt
9,0.8,0.9,0.8500000000000001,0,0.8500000000000001,NA,equal_width,test,platt
10,0.9,1,0.95,0,0.95,NA,equal_width,test,platt
1,0,0.1,0.05,1333924,0.002558485696505974,0.0040107232495912755,equal_width,test,isotonic
2,0.1,0.2,0.15000000000000002,151,0.14072535396016198,0,equal_width,test,isotonic
3,0.2,0.30000000000000004,0.25,75,0.23228811073316805,0,equal_width,test,isotonic
4,0.30000000000000004,0.4,0.35000000000000003,1,0.30617275936918864,0,equal_width,test,isotonic
5,0.4,0.5,0.45,0,0.45,NA,equal_width,test,isotonic
6,0.5,0.6000000000000001,0.55,0,0.55,NA,equal_width,test,isotonic
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,0.6500000000000001,NA,equal_width,test,isotonic
8,0.7000000000000001,0.8,0.75,0,0.75,NA,equal_width,test,isotonic
9,0.8,0.9,0.8500000000000001,0,0.8500000000000001,NA,equal_width,test,isotonic
10,0.9,1,0.95,0,0.95,NA,equal_width,test,isotonic
1,0,0.1,0.05,1329571,0.0036240610981708226,0.003459010462778754,equal_width,test,beta
2,0.1,0.2,0.15000000000000002,4019,0.13334772540783757,0.14431450609604346,equal_width,test,beta
3,0.2,0.30000000000000004,0.25,481,0.2317134823999558,0.2869022869022869,equal_width,test,beta
4,0.30000000000000004,0.4,0.35000000000000003,76,0.33161977823965794,0.381578947368421,equal_width,test,beta
5,0.4,0.5,0.45,4,0.4155830955342221,1,equal_width,test,beta
6,0.5,0.6000000000000001,0.55,0,0.55,NA,equal_width,test,beta
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,0.6500000000000001,NA,equal_width,test,beta
8,0.7000000000000001,0.8,0.75,0,0.75,NA,equal_width,test,beta
9,0.8,0.9,0.8500000000000001,0,0.8500000000000001,NA,equal_width,test,beta
10,0.9,1,0.95,0,0.95,NA,equal_width,test,beta
