bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split
1,2.2990895875674015e-5,3.543198511687837e-5,2.9211440496276193e-5,133416,2.517277856982237e-5,0,quantile,test_platt_scaled
2,3.543198511687837e-5,7.96621520699241e-5,5.754706859340123e-5,133416,5.628573508384269e-5,7.495352881203953e-6,quantile,test_platt_scaled
3,7.96621520699241e-5,1.4554627007901425e-4,1.1260421107446918e-4,133414,1.1021730985266957e-4,5.2468256704701326e-5,quantile,test_platt_scaled
4,1.4554627007901425e-4,2.525164956947282e-4,1.9903138288687123e-4,133416,1.9439049243959842e-4,1.5740241050544204e-4,quantile,test_platt_scaled
5,2.525164956947282e-4,4.3672404397042034e-4,3.4462026983257427e-4,133414,3.357474642796349e-4,1.8738663108821069e-4,quantile,test_platt_scaled
6,4.3672404397042034e-4,7.986573730844937e-4,6.17690708527457e-4,133415,5.944462257131234e-4,5.846419068322026e-4,quantile,test_platt_scaled
7,7.986573730844937e-4,0.0016500691373833403,0.001224363255233917,133415,0.0011619317392152285,0.0014316231308324026,quantile,test_platt_scaled
8,0.0016500691373833403,0.0038600019774879817,0.002755035557435661,133415,0.0025751452651769802,0.0026533748079298125,quantile,test_platt_scaled
9,0.0038600019774879817,0.009991050859971219,0.0069255264187296,133415,0.006363388086276339,0.006101262976426204,quantile,test_platt_scaled
10,0.009991050859971219,0.47279453406421196,0.24139279246209158,133415,0.030373779778624904,0.02892478357006432,quantile,test_platt_scaled
