bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split
1,3.5162840504199266e-5,0.0016915409709326924,8.633519057184458e-4,44718,8.5981351583164e-4,0,quantile,validation
2,0.0016915409709326924,0.004268421977758408,0.0029799814743455503,44717,0.002874368113441922,4.472571952502371e-5,quantile,validation
3,0.004268421977758408,0.008568982128053904,0.006418702052906155,44717,0.006235119490649422,0,quantile,validation
4,0.008568982128053904,0.015755252912640575,0.01216211752034724,44718,0.011849004999921102,1.3417415805719573e-4,quantile,validation
5,0.015755252912640575,0.02835112437605858,0.022053188644349575,44717,0.021426649427323665,3.578057562000699e-4,quantile,validation
6,0.02835112437605858,0.05467695966362955,0.041514042019844065,44717,0.03958345583218932,3.5780575620007396e-4,quantile,validation
7,0.05467695966362955,0.12529077380895626,0.08998386673629291,44718,0.08395440829157613,0.0012075674225144693,quantile,validation
8,0.12529077380895626,0.28808606266975406,0.20668841823935516,44717,0.1984051342362211,0.002571728872688327,quantile,validation
9,0.28808606266975406,0.5303668856620789,0.4092264741659165,44717,0.40403091094480315,0.005948520696826946,quantile,validation
10,0.5303668856620789,0.9924988150596619,0.7614328503608704,44718,0.7080751691341596,0.02728207880495372,quantile,validation
1,2.5940922569134273e-5,0.0016395554412156343,8.327481818923843e-4,133416,8.316701416517812e-4,0,quantile,test
2,0.0016395554412156343,0.004134192131459713,0.0028868737863376737,133416,0.0027929520015928565,7.495352881203953e-6,quantile,test
3,0.004134192131459713,0.008207988925278192,0.0061710905283689525,133414,0.005997076375783027,5.2468256704701326e-5,quantile,test
4,0.008207988925278192,0.015312759205698967,0.01176037406548858,133416,0.011414002632258018,1.5740241050544204e-4,quantile,test
5,0.015312759205698967,0.028294220566749573,0.02180348988622427,133414,0.021121824573489375,1.8738663108821069e-4,quantile,test
6,0.028294220566749573,0.05493642389774329,0.04161532223224643,133415,0.03983437925689117,5.846419068322026e-4,quantile,test
7,0.05493642389774329,0.11778820306062701,0.08636231347918515,133415,0.08191500382573054,0.0014316231308324026,quantile,test
8,0.11778820306062701,0.2614814341068268,0.18963481858372688,133415,0.18060192848064552,0.0026533748079298125,quantile,test
9,0.2614814341068268,0.5143229365348816,0.3879021853208542,133415,0.3789675046162928,0.006101262976426204,quantile,test
10,0.5143229365348816,0.9944762587547302,0.7543995976448059,133415,0.7084760577394384,0.02892478357006432,quantile,test
