bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split,method
1,2.5940922569134273e-5,0.0016395554412156343,8.327481818923843e-4,133416,8.316701416517812e-4,0,quantile,test,raw
2,0.0016395554412156343,0.004134192131459713,0.0028868737863376737,133416,0.0027929520015928565,7.495352881203953e-6,quantile,test,raw
3,0.004134192131459713,0.008207988925278192,0.0061710905283689525,133414,0.005997076375783027,5.2468256704701326e-5,quantile,test,raw
4,0.008207988925278192,0.015312759205698967,0.01176037406548858,133416,0.011414002632258018,1.5740241050544204e-4,quantile,test,raw
5,0.015312759205698967,0.028294220566749573,0.02180348988622427,133414,0.021121824573489375,1.8738663108821069e-4,quantile,test,raw
6,0.028294220566749573,0.05493642389774329,0.04161532223224643,133415,0.03983437925689117,5.846419068322026e-4,quantile,test,raw
7,0.05493642389774329,0.11778820306062701,0.08636231347918515,133415,0.08191500382573054,0.0014316231308324026,quantile,test,raw
8,0.11778820306062701,0.2614814341068268,0.18963481858372688,133415,0.18060192848064552,0.0026533748079298125,quantile,test,raw
9,0.2614814341068268,0.5143229365348816,0.3879021853208542,133415,0.3789675046162928,0.006101262976426204,quantile,test,raw
10,0.5143229365348816,0.9944762587547302,0.7543995976448059,133415,0.7084760577394384,0.02892478357006432,quantile,test,raw
1,2.2990895875674015e-5,3.543198511687837e-5,2.9211440496276193e-5,133416,2.517277856982237e-5,0,quantile,test,platt
2,3.543198511687837e-5,7.96621520699241e-5,5.754706859340123e-5,133416,5.628573508384269e-5,7.495352881203953e-6,quantile,test,platt
3,7.96621520699241e-5,1.4554627007901425e-4,1.1260421107446918e-4,133414,1.1021730985266957e-4,5.2468256704701326e-5,quantile,test,platt
4,1.4554627007901425e-4,2.525164956947282e-4,1.9903138288687123e-4,133416,1.9439049243959842e-4,1.5740241050544204e-4,quantile,test,platt
5,2.525164956947282e-4,4.3672404397042034e-4,3.4462026983257427e-4,133414,3.357474642796349e-4,1.8738663108821069e-4,quantile,test,platt
6,4.3672404397042034e-4,7.986573730844937e-4,6.17690708527457e-4,133415,5.944462257131234e-4,5.846419068322026e-4,quantile,test,platt
7,7.986573730844937e-4,0.0016500691373833403,0.001224363255233917,133415,0.0011619317392152285,0.0014316231308324026,quantile,test,platt
8,0.0016500691373833403,0.0038600019774879817,0.002755035557435661,133415,0.0025751452651769802,0.0026533748079298125,quantile,test,platt
9,0.0038600019774879817,0.009991050859971219,0.0069255264187296,133415,0.006363388086276339,0.006101262976426204,quantile,test,platt
10,0.009991050859971219,0.47279453406421196,0.24139279246209158,133415,0.030373779778624904,0.02892478357006432,quantile,test,platt
1,0,1.4761156489346155e-5,7.380578244673077e-6,133416,4.637536029612884e-6,0.0044972117287281725,quantile,test,isotonic
2,1.4761156489346155e-5,3.456922560204126e-5,2.466519104569371e-5,133415,2.074809985244926e-5,0.0017314394933105066,quantile,test,isotonic
3,3.456922560204126e-5,1.7839026592724128e-4,1.0647974576464127e-4,133415,1.0129720488513675e-4,0.003500356031930381,quantile,test,isotonic
4,1.7839026592724128e-4,4.099364746742193e-4,2.941633703007303e-4,133415,2.869167812463152e-4,0.002098714537345374,quantile,test,isotonic
5,4.099364746742193e-4,5.920345473060892e-4,5.009855109901543e-4,133415,5.227124530866981e-4,0.0014915864033282315,quantile,test,isotonic
6,5.920345473060892e-4,0.0012615940152554714,9.268142812807803e-4,133415,8.980802675358211e-4,0.004055016302513895,quantile,test,isotonic
7,0.0012615940152554714,0.002112604405174978,0.0016870992102152246,133415,0.0016648562099485767,0.004707116890905008,quantile,test,isotonic
8,0.002112604405174978,0.0031712638304503666,0.0026419341178126722,133415,0.002559061901428312,0.010620994640786491,quantile,test,isotonic
9,0.0031712638304503666,0.00622819274227372,0.004699728286362044,133415,0.0045435484074005305,0.005284263388674664,quantile,test,isotonic
10,0.00622819274227372,0.30617275936918864,0.15620047605573117,133415,0.01527081496912276,0.0021137053554699165,quantile,test,isotonic
1,6.410497838086509e-7,2.9112247661715397e-5,1.4876648722762023e-5,133416,1.5425627716811234e-5,0,quantile,test,beta
2,2.9112247661715397e-5,6.830664249808782e-5,4.870944507990161e-5,133416,4.7456114571091574e-5,7.495352881203953e-6,quantile,test,beta
3,6.830664249808782e-5,1.2879425708124515e-4,9.855044978966649e-5,133414,9.620467906398034e-5,5.2468256704701326e-5,quantile,test,beta
4,1.2879425708124515e-4,2.299005073814925e-4,1.7934738223136885e-4,133416,1.747314459068342e-4,1.5740241050544204e-4,quantile,test,beta
5,2.299005073814925e-4,4.087554569962249e-4,3.193279821888587e-4,133414,3.103287509985408e-4,1.8738663108821069e-4,quantile,test,beta
6,4.087554569962249e-4,7.695677486594961e-4,5.891616028278605e-4,133415,5.652239840663054e-4,5.846419068322026e-4,quantile,test,beta
7,7.695677486594961e-4,0.0016404282456262784,0.0012049979971428873,133415,0.001139465793842806,0.0014316231308324026,quantile,test,beta
8,0.0016404282456262784,0.003940036746739507,0.0027902324961828926,133415,0.002601383463374753,0.0026533748079298125,quantile,test,beta
9,0.003940036746739507,0.010264747160482013,0.007102391953610759,133415,0.0065351622696342895,0.006101262976426204,quantile,test,beta
10,0.010264747160482013,0.4221360273337185,0.21620038724710028,133415,0.029684582539363864,0.02892478357006432,quantile,test,beta
