Feature,Gain,Cover,Frequency
days_since_last_outage,0.5098387341365866,0.07445278823881962,0.07628969319442953
hist_median_duration_180d,0.05277311189769362,0.02005001642221057,0.028281960405255432
hist_outage_count_90d,0.04416417002435563,0.020108715604602777,0.02541796441484982
cumulative_outage_minutes_90d,0.020199984546080137,0.013328089336332357,0.0276017613575341
ntl_sum_built_lag1,0.01887043544769499,0.03185974302003453,0.017864174990155014
doy_cos,0.016420337487902458,0.027813981133448806,0.024666165467368346
hist_n_outages_30d,0.016169429830234415,0.012034610073744564,0.005835391830451437
ntl_sum_built_lag2,0.014559406346987035,0.018118416987496593,0.013281781405506033
ntl_sum_built_lag14,0.012685690259186299,0.01948017525560359,0.018114774639315503
rain_lag1,0.01011770307835182,0.02648867326576856,0.02298356782300505
doy,0.009623888665260089,0.026142790935821607,0.02158736977768231
year,0.008808468081197684,0.013701727655719502,0.007124190026133964
ntl_sum_built_lag7,0.008191783599618703,0.016677861241797057,0.014821179250349049
hist_outage_rate_90d,0.007510907397455801,0.003332085377669038,0.0032935953889664553
max_dew_lag1,0.007199079142286376,0.012207856649867746,0.013174381555865821
wsp_lag1,0.006846137189501557,0.01833145807603894,0.01897397343643719
doy_sin,0.006642530217610555,0.02671159538568188,0.018043174739555363
moon_fraction,0.006536713256827882,0.0191117849645045,0.01926037303547775
nb_mean_ntl_sum_built_lag1,0.0065008951464368,0.020589285652538338,0.018257974438835787
min_temp_lag1,0.006496788334975508,0.014527974091221252,0.011813983460423155
wind_u_lag1,0.006469820562462248,0.01594308124272631,0.018365374288475997
wind_v_lag1,0.00601872719047803,0.009778405519341194,0.01693337629327319
atm_lag1,0.0058869141710285585,0.020081836621491562,0.015966777646511294
min_dew_lag1,0.005706339277333745,0.013138951573644465,0.013532381054666523
rain_lag7,0.005569118883772934,0.013185182135704668,0.01718397594243368
wsp_lag7,0.00547475736563665,0.014272286118237717,0.01689757634339312
wind_u_lag7,0.005446293312978578,0.015535547889596185,0.01686177639351305
wdr_lag1,0.005369750407572602,0.00917761765736075,0.016109977446031577
built_share_mask_static,0.005345166698442879,0.022822907293970723,0.01510757884938961
skin_temp_lag1,0.005231365115059592,0.020205495914844936,0.012422582608384348
rh_lag1,0.005176660085538872,0.013187415279615816,0.014534779651308487
max_temp_lag1,0.005151086935839501,0.01430503235774786,0.014069380302867576
atm_lag7,0.005092868397429416,0.01669645769868324,0.013460781154906383
dew_lag1,0.005073562187030958,0.013298635372977295,0.011921383310063366
ntl_log_ratio_mean_lag7,0.004836385866204422,0.010686046828176553,0.01457057960118856
wdr_lag7,0.004763885015454631,0.01363559353309112,0.015501378298070382
wind_v_lag7,0.004673882100602847,0.012154020229405019,0.014319979952028068
lai_low_lag7,0.004532240155801734,0.010181406739125919,0.012064583109583646
built_share_area_static,0.004487020008494908,0.01613950544298125,0.013031181756345541
rh_lag7,0.004441639958909552,0.009609203539498741,0.013210181505745893
ntl_log_ratio_sum_lag7,0.004399998439067059,0.010921981844713897,0.014140980202627716
lai_high_lag1,0.004387654127872362,0.008939604303939976,0.013210181505745893
nb_mean_ntl_mean_built_lag1,0.004383557445967177,0.011075801189584957,0.012494182508144488
hist_outage_count_30d,0.0043232203832514774,0.007245415105674534,0.008126588622775929
skin_temp_lag7,0.0042836720638243335,0.014128689641070325,0.010238785665700068
lai_low_lag1,0.004262578348543014,0.011905691544354521,0.012959581856585401
lai_high_lag7,0.004252517528710515,0.014068788427639369,0.011634983711022805
min_temp_lag7,0.004141747938531694,0.013540466365769385,0.011742383560663015
ntl_log_ratio_sum_lag1,0.004088763124699701,0.0157851584608943,0.014033580352987506
max_temp_lag7,0.004042057188574031,0.011860677023018832,0.011885583360183296
min_dew_lag7,0.00393873463098248,0.009582096198509532,0.010381985465220348
ntl_sd_built_lag14,0.003826638430723623,0.010678454979459797,0.011742383560663015
ntl_log_ratio_mean_lag1,0.0037451946290116113,0.008404301916136937,0.011527583861382595
month_cos,0.003741312476633958,0.003592701958105156,0.00422439408584828
nb_mean_ntl_mean_built_lag7,0.003698927519727251,0.011613415876023724,0.01063258511438084
max_dew_lag7,0.0035990989354525737,0.010020135642395766,0.010131385816059858
temp_lag1,0.0035981825723948348,0.010135316974407666,0.010095585866179787
ntl_sd_built_lag7,0.0033645613639916704,0.011862443644393962,0.009379586868578383
ntl_mean_built_lag14,0.003286747199294382,0.00835955217786223,0.011169584362581893
ntl_mean_built_lag7,0.0032801977177320824,0.009515787655293359,0.009451186768338525
ntl_mean_built_lag2,0.003192033317313551,0.009595310134124303,0.009844986217019297
dew_lag7,0.0031727451954081396,0.00982874582272094,0.008806787670497262
ntl_sd_built_lag1,0.003155601645238329,0.008602944550132973,0.009916586116779437
ntl_sd_built_lag2,0.0031072984951766476,0.007662229875624828,0.009128987219417893
ntl_mean_built_lag1,0.0029772512744183815,0.00618865820396415,0.008914187520137472
temp_lag7,0.0025366472386669343,0.008970556603187744,0.007589589374574875
dow_num,0.0018507473193302097,0.004333448682343772,0.005548992231410876
dow_sin,0.0012287667983145905,0.002381167799259442,0.0037947946872874377
dow_cos,0.00105111826102485,0.0017739113151185558,0.002577596391365052
month,0.001032070716076958,8.695433693624914e-4,0.0015393978448430172
hist_outage_count_env_30d,9.118928484522928e-4,0.0011444896693241307,0.0032935953889664553
month_sin,8.51605167322611e-4,0.0016552512030098122,0.0024343965918447712
hist_outage_rate_30d,4.608496268150456e-4,7.914076743013389e-4,0.0010023985966419646
hist_outage_count_tech_30d,2.7930252184021193e-4,0.001951937120419839,0.0016109977446031576
is_public_holiday,2.6623772335685446e-4,4.726566331501983e-4,8.59198797121684e-4
is_weekend,1.3486662840312693e-4,9.217240200887136e-4,2.8639959904056136e-4
is_holiday,1.2182934703981652e-4,2.9078361490655175e-4,4.6539934844091216e-4
clim_n_obs,1.2009602849893776e-4,2.2449442256884403e-4,4.29599398560842e-4
