Feature,Gain,Cover,Frequency
hist_outage_count_90d,0.37068115998598894,0.10121188058635631,0.03074712643678161
hist_median_duration_180d,0.1486990468022508,0.1210934508361535,0.027873563218390806
ntl_sum_built_lag1,0.07535470678692441,0.04586815138753544,0.03045977011494253
hist_outage_rate_90d,0.04985568936906945,0.019073558817440297,0.0066091954022988505
hist_outage_count_30d,0.048057618047436246,0.037854893226910775,0.011781609195402299
cumulative_outage_minutes_90d,0.03160013092491476,0.035415441072498006,0.01853448275862069
days_since_last_outage,0.02748486287932257,0.1098900928041619,0.05244252873563218
ntl_sum_built_lag2,0.024010198850124426,0.023269697832597545,0.022270114942528736
doy,0.020896916029893062,0.040040271326380286,0.04942528735632184
hist_n_outages_30d,0.01592266577279641,0.03697602376902047,0.010632183908045977
doy_cos,0.014678751410874045,0.01857597179243487,0.02514367816091954
doy_sin,0.012112425009132828,0.02012619791915331,0.03189655172413793
month_sin,0.0077812725535328755,0.01279382296074439,0.009626436781609196
nb_mean_ntl_sum_built_lag1,0.006503929614640193,0.01816238150480641,0.023706896551724137
ntl_sum_built_lag14,0.005923153819574964,0.019604549971701555,0.01752873563218391
built_share_mask_static,0.005857065784217751,0.0064507196735227625,0.022126436781609197
ntl_sum_built_lag7,0.005822542812346268,0.008618423801128695,0.0125
atm_lag1,0.005313263063935305,0.013513159603645953,0.019252873563218392
ntl_sd_built_lag2,0.005056879802271449,0.011248671018911256,0.011494252873563218
built_share_area_static,0.004767826161672861,0.011566839362019046,0.01910919540229885
year,0.003709620785984876,0.0027893834393448117,0.009482758620689655
atm_lag7,0.00349945679294624,0.008597636041154674,0.017097701149425288
wind_u_lag1,0.0033703626568394396,0.00796257158611677,0.014655172413793103
ntl_mean_built_lag1,0.0033022496398974655,0.0038882521608679865,0.008045977011494253
wind_u_lag7,0.003237768095131091,0.010110691091994906,0.016810344827586206
wind_v_lag7,0.003096577502196214,0.009431827245855525,0.01896551724137931
wind_v_lag1,0.0030842653645483426,0.006561313504549623,0.01767241379310345
lai_high_lag1,0.002842389270647734,0.0069170614930702265,0.0125
ntl_mean_built_lag14,0.0027977675221633417,0.00975872064434616,0.011063218390804598
wsp_lag1,0.0027377639870397714,0.00936094250438861,0.013362068965517242
nb_mean_ntl_mean_built_lag1,0.0026677845314664658,0.00646644292162188,0.01235632183908046
moon_fraction,0.0026664797210096437,0.006407837836550873,0.021695402298850575
wdr_lag1,0.002567193805255183,0.0036853345123664377,0.014367816091954023
min_dew_lag1,0.002506800055556198,0.006915189074628073,0.011494252873563218
ntl_log_ratio_sum_lag7,0.002466082402923782,0.007259506789189996,0.01163793103448276
max_temp_lag1,0.0024549869313109,0.00765741758757592,0.016091954022988506
nb_mean_ntl_mean_built_lag7,0.0024079722177815723,0.008244208193271986,0.010919540229885057
rain_lag1,0.002388987625404869,0.01131253407606521,0.014367816091954023
rh_lag1,0.002380560277640475,0.005029383186077762,0.01264367816091954
max_dew_lag1,0.0023791185703161163,0.006399513520170406,0.010201149425287357
rh_lag7,0.0023411203291050695,0.007772024336061094,0.011781609195402299
