split,k,allocation,strict_k,precision,recall,lift,n_hits,n_alerts,n_days,base_rate
test,1,national,TRUE,0.2430939226519337,0.024672897196261683,60.621308411214955,132,543,543,0.004010040842453365
test,2,national,TRUE,0.20810313075506445,0.04224299065420561,51.89551401869159,226,1086,543,0.004010040842453365
test,5,national,TRUE,0.16537753222836096,0.0839252336448598,41.240859813084114,449,2715,543,0.004010040842453365
test,10,national,TRUE,0.13738489871086557,0.1394392523364486,34.26022429906543,746,5430,543,0.004010040842453365
test,20,national,TRUE,0.10303867403314917,0.2091588785046729,25.695168224299067,1119,10860,543,0.004010040842453365
test,30,national,TRUE,0.08532842234499693,0.25981308411214954,21.278691588785048,1390,16290,543,0.004010040842453365
test,50,national,TRUE,0.06696132596685082,0.33981308411214955,16.698414953271026,1818,27150,543,0.004010040842453365
test,100,national,TRUE,0.04705340699815838,0.47757009345794393,11.733897196261683,2555,54300,543,0.004010040842453365
val,1,national,TRUE,0.17032967032967034,0.018289085545722714,44.93628318584071,31,182,182,0.0037904708234378563
val,2,national,TRUE,0.1620879120879121,0.03480825958702065,42.76194690265487,59,364,182,0.0037904708234378563
val,5,national,TRUE,0.13516483516483516,0.07256637168141593,35.659115044247784,123,910,182,0.0037904708234378563
val,10,national,TRUE,0.11263736263736264,0.12094395280235988,29.715929203539826,205,1820,182,0.0037904708234378563
val,20,national,TRUE,0.09423076923076923,0.20235988200589972,24.85991150442478,343,3640,182,0.0037904708234378563
val,30,national,TRUE,0.08131868131868132,0.26194690265486725,21.45345132743363,444,5460,182,0.0037904708234378563
val,50,national,TRUE,0.06670329670329671,0.35811209439528024,17.59762831858407,607,9100,182,0.0037904708234378563
val,100,national,TRUE,0.04675824175824176,0.5020648967551622,12.335734513274337,851,18200,182,0.0037904708234378563
