method,policy_type,policy_target,selected_split,selected_threshold,val_precision,val_recall,val_alerts_per_day,val_f1,test_precision,test_recall,test_alerts_per_day,test_f1,test_kappa,test_tp,test_fp,test_tn,test_fn,notes
raw,precision_floor,0.05,validation_full,0.75,0.050508239156512404,0.471976401179941,87.02747252747253,0.09125128322117029,0.05349902160537411,0.49570093457943926,91.29097605893186,0.09657508057027368,0.08998766114139072,2652,46919,1281882,2698,raw probabilities; threshold selected on full validation
raw,precision_floor,0.1,validation_full,0.91,0.10040410320174076,0.1905604719764012,17.675824175824175,0.13151465798045603,0.11373976342129208,0.2336448598130841,20.239410681399633,0.15299877600979192,0.14840513060213428,1250,9740,1319061,4100,raw probabilities; threshold selected on full validation
raw,precision_floor,0.15,validation_full,0.96,0.15022091310751104,0.06017699115044248,3.730769230769231,0.08593091828138164,0.19481454807346058,0.10112149532710281,5.114180478821363,0.13313645871785407,0.13075432052428237,541,2236,1326565,4809,raw probabilities; threshold selected on full validation
raw,alerts_per_day_cap,5,validation_full,0.96,0.15022091310751104,0.06017699115044248,3.730769230769231,0.08593091828138164,0.19481454807346058,0.10112149532710281,5.114180478821363,0.13313645871785407,0.13075432052428237,541,2236,1326565,4809,raw probabilities; threshold selected on full validation
raw,alerts_per_day_cap,10,validation_full,0.94,0.12269938650306748,0.11799410029498525,8.956043956043956,0.12030075187969924,0.15119131044148562,0.16130841121495326,10.511970534069981,0.1560860915174534,0.15257787840597475,863,4845,1323956,4487,raw probabilities; threshold selected on full validation
raw,alerts_per_day_cap,20,validation_full,0.905,0.09956834532374101,0.20412979351032448,19.093406593406595,0.13384912959381046,0.10888851690659525,0.24317757009345795,22.0036832412523,0.15042201410567696,0.14568947874387925,1301,10647,1318154,4049,raw probabilities; threshold selected on full validation
raw,alerts_per_day_cap,30,validation_full,0.88,0.08663465386154462,0.25545722713864305,27.46153846153846,0.12938891379052742,0.09169500316984612,0.29738317757009347,31.953959484346225,0.14017003656226598,0.13486679642251062,1591,15760,1313041,3759,raw probabilities; threshold selected on full validation
raw,f1_max,NA,validation_full,0.9,0.09727418492784608,0.21474926253687315,20.560439560439562,0.1338973698730918,0.10502318392581143,0.25401869158878504,23.830570902394108,0.14860579551667577,0.14374730551163636,1359,11581,1317220,3991,raw probabilities; threshold selected on full validation
platt,precision_floor,0.05,validation_threshold_select,0.023,0.05014293440469752,0.5805008944543828,142.23076923076923,0.09231206884289879,0.05112233445566779,0.5108411214953271,98.45303867403315,0.09294337697670463,0.08628192683235994,2733,50727,1278074,2617,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,precision_floor,0.1,validation_threshold_select,0.061,0.10158928014957931,0.29159212880143115,35.26373626373626,0.15068176565749944,0.1047008547008547,0.25644859813084114,24.132596685082873,0.14869405007044542,0.14381811182907703,1372,11732,1317069,3978,platt calibration; threshold selected on threshold-select subset (strict mode)
