bin_lower,bin_upper,bin_label,bin_midpoint,n_obs,n_positive,mean_predicted,observed_rate,calibration_error,ci_lower,ci_upper,share_of_total_obs
0,0.001,"[0.000, 0.001)",5e-4,844138,177,2.5335320950859954e-4,2.0968135541818992e-4,4.3671854090409626e-05,1.8098520754809572e-4,2.4292632158814893e-4,0.6327154872274577
0.001,0.002,"[0.001, 0.002)",0.0015,121862,200,0.0014305669207798934,0.0016412007024339005,2.1063378165400715e-4,0.0014291033664784027,0.0018847166013355881,0.09134048544729945
0.002,0.003,"[0.002, 0.003)",0.0025,63578,159,0.0024605311687133044,0.0025008650791154175,4.033391040211311e-5,0.00214153641376294,0.002920309098043091,0.04765427601523366
0.003,0.004,"[0.003, 0.004)",0.0035,43070,157,0.0034759811568244093,0.003645228697469236,1.6924754064482662e-4,0.0031186472895899705,0.004260343022303985,0.03228270263261055
0.004,0.005,"[0.004, 0.005)",0.0045000000000000005,32801,157,0.004481169531645151,0.004786439437822017,3.0526990617686656e-4,0.004095313762483635,0.005593544487896101,0.024585672836133242
0.005,0.006,"[0.005, 0.006)",0.0055,26354,112,0.005481617334878607,0.004249829247932003,0.0012317880869466037,0.003533431031320085,0.005110731244891142,0.01975338623589084
0.006,0.007,"[0.006, 0.007)",0.006500000000000001,21670,132,0.006489151344232185,0.006091370558375634,3.9778078585655033e-4,0.005139334880446226,0.007218486382091871,0.01624253926279709
0.007,0.008,"[0.007, 0.008)",0.0075,18420,125,0.007487397244892519,0.0067861020629750276,7.012951819174917e-4,0.00569902006290526,0.008078858963467042,0.013806533143549718
0.008,0.009000000000000001,"[0.008, 0.009)",0.0085,15494,143,0.008489536210685888,0.009229379114495935,7.398429038100469e-4,0.00784060436994929,0.010861449047672236,0.0116133780958827
0.009000000000000001,0.01,"[0.009, 0.010)",0.0095000000000000015,13457,129,0.009481117764502245,0.00958608902429962,1.0497125979737516e-4,0.008074061761404374,0.011378025214117739,0.010086564414372886
0.01,0.015,"[0.010, 0.015)",0.0125,45442,530,0.012235379768272889,0.011663219048457374,5.721607198155149e-4,0.010716531070391805,0.012692463563026092,0.03406061232948894
0.015,0.02,"[0.015, 0.020)",0.0175,24628,402,0.017272875723718953,0.016322884521682637,9.499912020363155e-4,0.01481408998198874,0.01798254278991492,0.01845967960148439
0.02,0.025,"[0.020, 0.025)",0.0225,15012,310,0.022315881984832232,0.020650146549427126,0.0016657354354051059,0.018494880618564507,0.02305067382348999,0.011252099649889704
0.025,0.03,"[0.025, 0.030)",0.0275,9875,262,0.02733917442642674,0.026531645569620253,8.075288568064852e-4,0.023541297923075657,0.029890216391732092,0.007401710900790091
0.03,0.035,"[0.030, 0.035)",0.0325,7138,211,0.03236809539368803,0.029560100868590643,0.0028079945250973903,0.02587692014823829,0.033749362691567523,0.005350218978211612
0.035,0.04,"[0.035, 0.040)",0.037500000000000006,5301,207,0.03738839718697746,0.03904923599320883,0.0016608388062313711,0.03415958176464452,0.044606477893165394,0.003973313365578559
0.04,0.045,"[0.040, 0.045)",0.042499999999999996,4190,143,0.04238387248081596,0.034128878281622914,0.008254994199193046,0.029044124030859184,0.040067086220325995,0.0031405740429681496
0.045,0.05,"[0.045, 0.050)",0.0475,3319,150,0.0473495503568175,0.04519433564326605,0.0021552147135514566,0.03863752422111451,0.05280272731846094,0.0024877244030098544
0.05,0.06,"[0.050, 0.060)",0.055,4908,251,0.05469642408969112,0.051140994295028525,0.0035554297946625985,0.04532161016434073,0.057662466797732854,0.003678744010235723
0.06,0.06999999999999999,"[0.060, 0.070)",0.065,3153,190,0.06464104194883744,0.06026006977481763,0.004380972174019802,0.05247675611539472,0.06911359418496098,0.002363300705842142
0.06999999999999999,0.08,"[0.070, 0.080)",0.075,2194,164,0.07483198998278764,0.07474931631722881,8.26736655588356e-5,0.06447279254265023,0.08651237405747014,0.0016444915155780717
0.08,0.09,"[0.080, 0.090)",0.08499999999999999,1633,114,0.08473668208934072,0.06981016533986528,0.01492651674947544,0.05843358485494286,0.08320594753308112,0.0012239993823787562
0.09,0.1,"[0.090, 0.100)",0.095,1249,109,0.09475467840786499,0.08726981585268215,0.007484862555182839,0.07285617762139562,0.10421447825354214,9.361758901353745e-4
0.1,NA,"[0.100, NA)",NA,5265,816,0.15341163481219175,0.15498575498575498,0.0015741201735632315,0.14546240228714585,0.16501220045158194,0.003946329913180742
