decile,n,mean_pred,mean_actual,metric,ratio
1,133416,2.0179981428511537e-5,0,E_count,0
2,133415,5.839534108341701e-5,7.495409061949556e-6,E_count,0.1283562853283528
3,133415,1.1416905260224513e-4,5.246786343364689e-5,E_count,0.4595629221557989
4,133415,2.0162503246766382e-4,1.4990818123899113e-4,E_count,0.743499849221515
5,133415,3.495800143975296e-4,2.6233931716823444e-4,E_count,0.750441405010962
6,133415,6.226636317381369e-4,6.820822246374096e-4,E_count,1.0954264708433483
7,133415,0.0012271097904752017,0.0021811640370273206,E_count,1.777480755151223
8,133415,0.002748059447337344,0.0031855488513285613,E_count,1.1591993959283198
9,133415,0.006878467842361005,0.007652812652250497,E_count,1.1125751879104084
10,133415,0.03680692876235362,0.038923659258704044,E_count,1.0575090225543466
1,133416,0.013315365923223832,0.0018063800443735298,E_minutes,0.13566131451355418
2,133415,0.032198258354753914,0.029014728478823547,E_minutes,0.9011272646844783
3,133415,0.057388349611396716,0.027020949668286397,E_minutes,0.4708438184972708
4,133415,0.09588163363601021,0.07299029344519971,E_minutes,0.7612541701394915
5,133415,0.1598870916415419,0.15292883109089056,E_minutes,0.956480160598259
6,133415,0.2771463452669432,0.5382603155569318,E_minutes,1.9421519523863375
7,133415,0.5328190425586792,1.4250346662671773,E_minutes,2.674519025115809
8,133415,1.1893678451677299,2.059311171907762,E_minutes,1.731433366283203
9,133415,3.0404048584171464,6.328223962822134,E_minutes,2.081375427783209
10,133415,17.3402476152905,37.803238016714886,E_minutes,2.180086401037334
