bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split
1,0,0.1,0.05,303763,0.02047857044265597,2.53487093556462e-4,equal_width,validation
2,0.1,0.2,0.15000000000000002,36382,0.1453151580477292,0.0026386674729263543,equal_width,validation
3,0.2,0.30000000000000004,0.25,24939,0.2478689951466275,0.00396968603392285,equal_width,validation
4,0.30000000000000004,0.4,0.35000000000000003,20400,0.34867151855691986,0.005686274509803825,equal_width,validation
5,0.4,0.5,0.45,17900,0.44907216598035243,0.008547486033519344,equal_width,validation
6,0.5,0.6000000000000001,0.55,14953,0.5483526053902521,0.012305223032167308,equal_width,validation
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,11873,0.6477404276402771,0.01836098711361862,equal_width,validation
8,0.7000000000000001,0.8,0.75,8842,0.7476222351230504,0.029631305134585045,equal_width,validation
9,0.8,0.9,0.8500000000000001,5642,0.8442583590038109,0.04431052818149607,equal_width,validation
10,0.9,1,0.95,2480,0.9353564786574533,0.09677419354838696,equal_width,validation
1,0,0.1,0.05,921654,0.020816423167201708,3.352668137941748e-4,equal_width,test
2,0.1,0.2,0.15000000000000002,112605,0.14444924494881287,0.0026730606989031204,equal_width,test
3,0.2,0.30000000000000004,0.25,71615,0.24755955455727294,0.004258884311945745,equal_width,test
4,0.30000000000000004,0.4,0.35000000000000003,56614,0.34835984477404885,0.006217543363832611,equal_width,test
5,0.4,0.5,0.45,47119,0.4484847719920468,0.0087225959803896,equal_width,test
6,0.5,0.6000000000000001,0.55,39621,0.5485521940757633,0.012972918401857852,equal_width,test
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,31435,0.6479161353601985,0.017241927787498522,equal_width,test
8,0.7000000000000001,0.8,0.75,25054,0.7482544772521434,0.026702322982357415,equal_width,test
9,0.8,0.9,0.8500000000000001,18958,0.84664372020299,0.04715687308787953,equal_width,test
10,0.9,1,0.95,9476,0.9365526179489378,0.11112283663993151,equal_width,test
