bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split,method
1,0,0.1,0.05,921654,0.020816423167201708,3.352668137941748e-4,equal_width,test,raw
2,0.1,0.2,0.15000000000000002,112605,0.14444924494881287,0.0026730606989031204,equal_width,test,raw
3,0.2,0.30000000000000004,0.25,71615,0.24755955455727294,0.004258884311945745,equal_width,test,raw
4,0.30000000000000004,0.4,0.35000000000000003,56614,0.34835984477404885,0.006217543363832611,equal_width,test,raw
5,0.4,0.5,0.45,47119,0.4484847719920468,0.0087225959803896,equal_width,test,raw
6,0.5,0.6000000000000001,0.55,39621,0.5485521940757633,0.012972918401857852,equal_width,test,raw
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,31435,0.6479161353601985,0.017241927787498522,equal_width,test,raw
8,0.7000000000000001,0.8,0.75,25054,0.7482544772521434,0.026702322982357415,equal_width,test,raw
9,0.8,0.9,0.8500000000000001,18958,0.84664372020299,0.04715687308787953,equal_width,test,raw
10,0.9,1,0.95,9476,0.9365526179489378,0.11112283663993151,equal_width,test,raw
1,0,0.1,0.05,1329672,0.0034657434289051643,0.003508384022515406,equal_width,test,platt
2,0.1,0.2,0.15000000000000002,3786,0.13557189827605406,0.1376122556788162,equal_width,test,platt
3,0.2,0.30000000000000004,0.25,627,0.2343517228860624,0.22328548644338111,equal_width,test,platt
4,0.30000000000000004,0.4,0.35000000000000003,66,0.33050477727754096,0.36363636363636365,equal_width,test,platt
5,0.4,0.5,0.45,0,0.45,NA,equal_width,test,platt
6,0.5,0.6000000000000001,0.55,0,0.55,NA,equal_width,test,platt
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,0.6500000000000001,NA,equal_width,test,platt
8,0.7000000000000001,0.8,0.75,0,0.75,NA,equal_width,test,platt
9,0.8,0.9,0.8500000000000001,0,0.8500000000000001,NA,equal_width,test,platt
10,0.9,1,0.95,0,0.95,NA,equal_width,test,platt
1,0,0.1,0.05,1333899,0.0025621883406292123,0.004007799690995222,equal_width,test,isotonic
2,0.1,0.2,0.15000000000000002,252,0.11663649526179323,0.01587301587301588,equal_width,test,isotonic
3,0.2,0.30000000000000004,0.25,0,0.25,NA,equal_width,test,isotonic
4,0.30000000000000004,0.4,0.35000000000000003,0,0.35000000000000003,NA,equal_width,test,isotonic
5,0.4,0.5,0.45,0,0.45,NA,equal_width,test,isotonic
6,0.5,0.6000000000000001,0.55,0,0.55,NA,equal_width,test,isotonic
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,0.6500000000000001,NA,equal_width,test,isotonic
8,0.7000000000000001,0.8,0.75,0,0.75,NA,equal_width,test,isotonic
9,0.8,0.9,0.8500000000000001,0,0.8500000000000001,NA,equal_width,test,isotonic
10,0.9,1,0.95,0,0.95,NA,equal_width,test,isotonic
1,0,0.1,0.05,1330667,0.0035180565949720684,0.0035779049153596225,equal_width,test,beta
2,0.1,0.2,0.15000000000000002,3208,0.1327873992153311,0.1592892768079803,equal_width,test,beta
3,0.2,0.30000000000000004,0.25,267,0.22682443877281327,0.27715355805243425,equal_width,test,beta
4,0.30000000000000004,0.4,0.35000000000000003,9,0.3063683399349835,0.4444444444444444,equal_width,test,beta
5,0.4,0.5,0.45,0,0.45,NA,equal_width,test,beta
6,0.5,0.6000000000000001,0.55,0,0.55,NA,equal_width,test,beta
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,0.6500000000000001,NA,equal_width,test,beta
8,0.7000000000000001,0.8,0.75,0,0.75,NA,equal_width,test,beta
9,0.8,0.9,0.8500000000000001,0,0.8500000000000001,NA,equal_width,test,beta
10,0.9,1,0.95,0,0.95,NA,equal_width,test,beta
