bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split
1,2.426318521022235e-5,4.267790793970068e-5,3.3470546574961516e-5,133416,2.877640710975844e-5,0,quantile,test_platt_scaled
2,4.267790793970068e-5,9.087123962844124e-5,6.677457378407096e-5,133415,6.535698704450811e-5,1.499081812386814e-5,quantile,test_platt_scaled
3,9.087123962844124e-5,1.59114436623834e-4,1.2499283812613762e-4,133415,1.2289428767918776e-4,4.4972454371712593e-5,quantile,test_platt_scaled
4,1.59114436623834e-4,2.6359950638135763e-4,2.1135697150259582e-4,133415,2.0727248058480472e-4,1.648989993629783e-4,quantile,test_platt_scaled
5,2.6359950638135763e-4,4.4102153669920677e-4,3.523105215402822e-4,133415,3.438930559274176e-4,2.2486227185842048e-4,quantile,test_platt_scaled
6,4.4102153669920677e-4,7.925706084262599e-4,6.167960725627334e-4,133415,5.94809423554841e-4,6.446051793275301e-4,quantile,test_platt_scaled
7,7.925706084262599e-4,0.0016349839051366876,0.0012137772567814738,133415,0.0011476935034056227,0.0014016414945843022,quantile,test_platt_scaled
8,0.0016349839051366876,0.0038422324940963477,0.0027386081996165178,133415,0.002568937293719745,0.0030356406700898053,quantile,test_platt_scaled
9,0.0038422324940963477,0.009672572464926577,0.006757402479511463,133415,0.006236877791961586,0.006431060975153011,quantile,test_platt_scaled
10,0.009672572464926577,0.38962852916304264,0.1996505508139846,133415,0.028336668848053678,0.028137765618554994,quantile,test_platt_scaled
