bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split,method
1,4.465956226340495e-5,0.0018998347222805023,9.722471422719536e-4,133416,0.0010254450113283229,0,quantile,test,raw
2,0.0018998347222805023,0.00447848392650485,0.0031891593243926764,133415,0.003092428328734736,1.499081812386814e-5,quantile,test,raw
3,0.00447848392650485,0.008438928984105589,0.0064587064553052196,133415,0.006314311990265051,4.4972454371712593e-5,quantile,test,raw
4,0.008438928984105589,0.014893269166350365,0.011666099075227976,133415,0.01138366756087676,1.648989993629783e-4,quantile,test,raw
5,0.014893269166350365,0.02644318901002407,0.020668229088187218,133415,0.020075040494791432,2.2486227185842048e-4,quantile,test,raw
6,0.02644318901002407,0.050283748656511335,0.0383634688332677,133415,0.0368105901167945,6.446051793275301e-4,quantile,test,raw
7,0.050283748656511335,0.10779204219579701,0.07903789542615416,133415,0.07463766604151555,0.0014016414945843022,quantile,test,raw
8,0.10779204219579701,0.24256746470928192,0.17517975345253947,133415,0.1670746012702881,0.0030356406700898053,quantile,test,raw
9,0.24256746470928192,0.4796772301197052,0.36112234741449356,133415,0.3518465506413034,0.006431060975153011,quantile,test,raw
10,0.4796772301197052,0.9907634854316711,0.7352203577756882,133415,0.6754746888210224,0.028137765618554994,quantile,test,raw
1,2.426318521022235e-5,4.267790793970068e-5,3.3470546574961516e-5,133416,2.877640710975844e-5,0,quantile,test,platt
2,4.267790793970068e-5,9.087123962844124e-5,6.677457378407096e-5,133415,6.535698704450811e-5,1.499081812386814e-5,quantile,test,platt
3,9.087123962844124e-5,1.59114436623834e-4,1.2499283812613762e-4,133415,1.2289428767918776e-4,4.4972454371712593e-5,quantile,test,platt
4,1.59114436623834e-4,2.6359950638135763e-4,2.1135697150259582e-4,133415,2.0727248058480472e-4,1.648989993629783e-4,quantile,test,platt
5,2.6359950638135763e-4,4.4102153669920677e-4,3.523105215402822e-4,133415,3.438930559274176e-4,2.2486227185842048e-4,quantile,test,platt
6,4.4102153669920677e-4,7.925706084262599e-4,6.167960725627334e-4,133415,5.94809423554841e-4,6.446051793275301e-4,quantile,test,platt
7,7.925706084262599e-4,0.0016349839051366876,0.0012137772567814738,133415,0.0011476935034056227,0.0014016414945843022,quantile,test,platt
8,0.0016349839051366876,0.0038422324940963477,0.0027386081996165178,133415,0.002568937293719745,0.0030356406700898053,quantile,test,platt
9,0.0038422324940963477,0.009672572464926577,0.006757402479511463,133415,0.006236877791961586,0.006431060975153011,quantile,test,platt
10,0.009672572464926577,0.38962852916304264,0.1996505508139846,133415,0.028336668848053678,0.028137765618554994,quantile,test,platt
1,0,8.475310678404124e-6,4.237655339202062e-6,133416,1.0617717444946445e-6,0.005951310187680626,quantile,test,isotonic
2,8.475310678404124e-6,3.45101394520536e-5,2.1492725065228862e-5,133415,2.3774500953135144e-5,0.0021212007645319,quantile,test,isotonic
3,3.45101394520536e-5,1.570055893989826e-4,9.57578644255181e-5,151759,1.1113281829938444e-4,0.002609400430946496,quantile,test,isotonic
4,1.570055893989826e-4,3.9566673681257013e-4,2.7633616310577635e-4,115071,2.771596202357774e-4,0.002485422043781207,quantile,test,isotonic
5,3.9566673681257013e-4,7.311760763215255e-4,5.634214065670479e-4,133415,5.486674089616547e-4,0.0025409436719997726,quantile,test,isotonic
6,7.311760763215255e-4,0.0012768156237706796,0.0010039958500461027,133415,9.54731915132814e-4,0.0033729340778779885,quantile,test,isotonic
7,0.0012768156237706796,0.0022363655510969187,0.0017565905874337992,133415,0.0017436946951451691,0.005441666978973929,quantile,test,isotonic
8,0.0022363655510969187,0.0034385898198670164,0.0028374776854819678,133415,0.002759800392747509,0.007330510062586079,quantile,test,isotonic
9,0.0034385898198670164,0.0060837583333504175,0.004761174076608717,133415,0.004699071227998337,0.006116253794552078,quantile,test,isotonic
10,0.0060837583333504175,0.15696892020091646,0.08152633926713344,133415,0.014741104702680249,0.002113705355469905,quantile,test,isotonic
1,8.380081713805655e-7,3.068116757711947e-5,1.575958787425002e-5,133416,1.6892694472954102e-5,0,quantile,test,beta
2,3.068116757711947e-5,6.999935308830002e-5,5.0340260332709744e-5,133415,4.896330356918394e-5,1.499081812386814e-5,quantile,test,beta
3,6.999935308830002e-5,1.2895708011277413e-4,9.947821660053708e-5,133415,9.742249673563578e-5,4.4972454371712593e-5,quantile,test,beta
4,1.2895708011277413e-4,2.2352591005966e-4,1.7624149508621708e-4,133415,1.7220264190884977e-4,1.648989993629783e-4,quantile,test,beta
5,2.2352591005966e-4,3.9125070862452266e-4,3.0738830934209135e-4,133415,2.988406963260324e-4,2.2486227185842048e-4,quantile,test,beta
6,3.9125070862452266e-4,7.386535589256887e-4,5.649521337751057e-4,133415,5.419647382627935e-4,6.446051793275301e-4,quantile,test,beta
7,7.386535589256887e-4,0.0016097077660656824,0.0011741806624956856,133415,0.0011028279149356902,0.0014016414945843022,quantile,test,beta
8,0.0016097077660656824,0.00396768029103667,0.002788694028551176,133415,0.002603820018894346,0.0030356406700898053,quantile,test,beta
9,0.00396768029103667,0.010130702284901313,0.007049191287968991,133415,0.006517912922191893,0.006431060975153011,quantile,test,beta
10,0.010130702284901313,0.3143323719081019,0.16223153709650162,133415,0.027355388491179113,0.028137765618554994,quantile,test,beta
