threshold,net_benefit,treat_all,treat_none,split,method
1e-4,0.003690845722301615,0.003690839907426233,0,validation,raw
2e-4,0.003591383655308528,0.0035911890612477402,0,validation,raw
3e-4,0.00349277118736528,0.0034915182789191663,0,validation,raw
4e-4,0.0033954615985230426,0.0033918275544572735,0,validation,raw
5e-4,0.0032995438802738055,0.003292116881876429,0,validation,raw
6e-4,0.0032050466442970077,0.003192386255188604,0,validation,raw
7e-4,0.0031118407465366817,0.003092635668403373,0,validation,raw
8e-4,0.0030198721899335136,0.0029928651155279127,0,validation,raw
9e-4,0.002929175591714734,0.002893074590567001,0,validation,raw
0.001,0.0028398339346650293,0.0027932640875230137,0,validation,raw
0.0011,0.0027512998088323254,0.002693433600395926,0,validation,raw
0.0012,0.002663513676729536,0.0025935831231833108,0,validation,raw
0.0013,0.0025766857978403316,0.0024937126498803352,0,validation,raw
0.0014,0.0024909839672485395,0.0023938221744797625,0,validation,raw
0.0015,0.0024062513015723048,0.0022939116909719485,0,validation,raw
0.0016,0.0023220289228319656,0.002193981193344842,0,validation,raw
0.0017,0.002238537631672995,0.002094030675583983,0,validation,raw
0.0018,0.0021561358715488895,0.001994060131672501,0,validation,raw
0.0019,0.0020745958847032207,0.0018940695555911137,0,validation,raw
0.002,0.001993678170207052,0.001794058941318127,0,validation,raw
0.0021,0.0019135086336649182,0.0016940282828294328,0,validation,raw
0.0022,0.001834247297343031,0.0015939775740985073,0,validation,raw
0.0023,0.001755706827371656,0.0014939068090964124,0,validation,raw
0.0024,0.0016779096328256075,0.0013938159817917916,0,validation,raw
0.0025,0.0016005555265793778,0.0012937050861508682,0,validation,raw
0.0026,0.0015236841027853705,0.0011935741161374484,0,validation,raw
0.0027,0.0014469981749769037,0.0010934230657129152,0,validation,raw
0.0028,0.001371719986037878,9.93251928836232e-4,0,validation,raw
0.0029,0.0012962717222653455,8.930606994639366e-4,0,validation,raw
0.003,0.0012219029049740965,7.928493715501409e-4,0,validation,raw
0.0031,0.0011477560516945252,6.926179390465354e-4,0,validation,raw
0.0032,0.001073999936293341,5.923663959023781e-4,0,validation,raw
0.0033,0.0010011644068868074,4.920947360645038e-4,0,validation,raw
0.0034,9.28237968239909e-4,3.9180295347731415e-4,0,validation,raw
0.0035,8.57009381350068e-4,2.9149104208278046e-4,0,validation,raw
0.0036,7.854410671585465e-4,1.9115899582044463e-4,0,validation,raw
0.0037,7.145970744251414e-4,9.0806808627412125e-05,0,validation,raw
0.0038,6.447966068149134e-4,-9.565525561643692e-6,0,validation,raw
0.0039,5.749563067057339e-4,-1.0995801281448586e-4,0,validation,raw
0.004,5.058721021473124e-4,-2.1037065920131472e-4,0,validation,raw
0.0041,4.370169839804125e-4,-3.1080347079476874e-4,0,validation,raw
0.0042,3.6875482428122205e-4,-4.112564536699224e-4,0,validation,raw
0.0043,3.001642993166985e-4,-5.117296139042979e-4,0,validation,raw
0.0044,2.328178390765866e-4,-6.12222957577852e-4,0,validation,raw
0.0045,1.6371466192363583e-4,-7.127364907729868e-4,0,validation,raw
0.0046,9.736900643863905e-5,-8.132702195745517e-4,0,validation,raw
0.0047,3.060873602970908e-5,-9.138241500698373e-4,0,validation,raw
0.0048,-3.5391965005758964e-5,-0.0010143982883485817,0,validation,raw
0.0049,-1.0087467474819345e-4,-0.001114992640502974,0,validation,raw
0.005,-1.6607927039204292e-4,-0.0012156072126276478,0,validation,raw
0.0051,-2.3078314286553324e-4,-0.0013162420108196902,0,validation,raw
