Feature,Gain,Cover,Frequency
days_since_last_outage,0.44907639570367686,0.07039532229604815,0.07570428918458359
hist_median_duration_180d,0.08967611403228097,0.019907558138322866,0.026721293644175338
hist_outage_count_90d,0.07935575025791455,0.019384989379129563,0.02472716725281897
ntl_sum_built_lag1,0.018880984196250367,0.02797114018658667,0.017330771183060804
hist_n_outages_30d,0.016174033944557985,0.012006166652647036,0.005329755991443385
ntl_sum_built_lag2,0.014694934029521968,0.016716805004333948,0.012109785722055039
doy_cos,0.014559352718605182,0.026035268739428376,0.022225445052753708
ntl_sum_built_lag14,0.012044265531182676,0.018938624013065997,0.015953011130850948
rain_lag1,0.009463543933062368,0.02316547443931058,0.020630143939668614
year,0.009025570654184054,0.015203008216502329,0.006997570791486893
doy,0.008660497708156842,0.020998309870807245,0.017729596461332077
cumulative_outage_minutes_90d,0.008179867275542643,0.012271898330600542,0.028389108444218845
ntl_sum_built_lag7,0.007491420608473847,0.015150808472123602,0.012508611000326311
hist_outage_rate_90d,0.00660798801492818,0.0031208384111742447,0.00395199593923353
min_temp_lag1,0.00637109650693218,0.01402030410958483,0.011130850948116456
max_dew_lag1,0.006299051286593588,0.009894435781782866,0.011275878322033283
wsp_lag1,0.006294351426035833,0.014366636068842038,0.016533120626518256
doy_sin,0.006265372452210065,0.024483822546395008,0.016533120626518256
nb_mean_ntl_sum_built_lag1,0.006018365853782415,0.01817128441001987,0.01693194590478953
wind_u_lag1,0.005785663745445508,0.01396616497344784,0.015953011130850948
min_dew_lag1,0.005652959841069551,0.012376105980606454,0.011892244661179798
moon_fraction,0.005514381292010901,0.01626756065671443,0.01660563431347667
atm_lag1,0.005369840125221068,0.017349270762785016,0.014140168956890613
rh_lag1,0.004938191855109087,0.012175012759658859,0.014248939487328234
wsp_lag7,0.00492420776068878,0.011464210277143963,0.01482904898299554
max_temp_lag1,0.004810536445223801,0.01608616941557822,0.01308872049599362
wind_v_lag1,0.004783698148911361,0.010840081102687709,0.013270004713389653
month_cos,0.004776536491111829,0.0032733379661730533,0.0034806569740038432
wind_v_lag7,0.004776490513428049,0.011780287024830837,0.013523802617744099
built_share_mask_static,0.004755027623798828,0.02243723773507276,0.012726152061201552
skin_temp_lag1,0.004751541646498672,0.019801278069687185,0.011710960443783764
rain_lag7,0.004746224164456435,0.011050591925996457,0.01504659004387078
wind_u_lag7,0.004681239595824661,0.012179287823224185,0.013523802617744099
atm_lag7,0.0045466748623571255,0.014647885681427364,0.01163844675682535
wdr_lag1,0.00444296441296718,0.005757581884889556,0.013705086835140132
lai_low_lag7,0.00439210875035817,0.008153682548617284,0.01131213516551249
ntl_log_ratio_mean_lag7,0.004272417978608043,0.009829968859427054,0.012508611000326311
wdr_lag7,0.004266497356241571,0.012733973470047469,0.012834922591639172
rh_lag7,0.004223271816966043,0.010451256159823095,0.012871179435118379
min_temp_lag7,0.004200711979448207,0.012766546849889142,0.012037272035096625
min_dew_lag7,0.004086452728877251,0.007550339172904465,0.01055074145244915
skin_temp_lag7,0.00407623446017885,0.010352433997688867,0.009064210869801675
hist_outage_count_30d,0.004063119597402293,0.006782524173828064,0.0077227076610710274
nb_mean_ntl_mean_built_lag1,0.0038868426059049093,0.010215467430362602,0.011239621478554077
lai_low_lag1,0.003799258376564623,0.01095489309477689,0.011457162539429317
dew_lag1,0.00373490265231652,0.009225064868469047,0.009209238243718502
lai_high_lag1,0.0037290309038658775,0.007346963490898409,0.010478227765490736
built_share_area_static,0.0036513253600162308,0.013620828615302635,0.011130850948116456
nb_mean_ntl_mean_built_lag7,0.0036073877096856177,0.012600089625432985,0.010985823574199631
max_dew_lag7,0.0035880224161179927,0.0073664337238968,0.009535549835031363
ntl_log_ratio_sum_lag1,0.003517537178766873,0.009429988563174568,0.011674703600304558
ntl_log_ratio_mean_lag1,0.003502708832704239,0.005114197420853606,0.01076828251332439
lai_high_lag7,0.003458134735380826,0.008888102201814393,0.009753090895906603
ntl_log_ratio_sum_lag7,0.0034357443274378656,0.008128018864538173,0.010840796200282804
max_temp_lag7,0.0034135990131320642,0.009802528916542631,0.01076828251332439
ntl_sd_built_lag14,0.003397297933072438,0.010182814934539453,0.010006888800261049
ntl_mean_built_lag7,0.003168865594833989,0.008036385054455239,0.00877415612196802
ntl_sd_built_lag2,0.002910667050695913,0.00911408475042065,0.008592871904571989
ntl_sd_built_lag7,0.002858176827124165,0.01004248418764696,0.008194046626300714
temp_lag1,0.002841789041117568,0.009104263866596407,0.00790399187846706
ntl_mean_built_lag14,0.002662679534676117,0.005868601910999404,0.008991697182843261
dew_lag7,0.002644612839153529,0.008463355102653315,0.007396396069758167
ntl_mean_built_lag2,0.00263025386369736,0.009134541482692469,0.008302817156738335
ntl_mean_built_lag1,0.0024366116078767914,0.005884134898671948,0.007867735034987854
ntl_sd_built_lag1,0.0024225755622941025,0.007530402645714376,0.007686450817591821
cenace_price_dev_roll7,0.0023826224032051056,0.009297028905246333,0.007613937130633407
temp_lag7,0.002366815673753369,0.007303302671387474,0.006743772887132446
cenace_price_sd_lag7,0.0022910594750873018,0.006959099142074351,0.007070084478445307
cenace_price_mean_lag7,0.0022884510560980376,0.008287403960420246,0.006707516043653239
cenace_price_max_lag1,0.0021252143494019447,0.009058747672298684,0.007178855008882927
cenace_price_roll7,0.0021231105988472445,0.008138751332502945,0.006562488669736413
cenace_price_sd_lag1,0.0019285180168855489,0.008075349325260604,0.006453718139298793
cenace_price_mean_lag1,0.0018835670473667404,0.002747774352017308,0.006091149704506725
cenace_price_max_lag7,0.001844157474830468,0.0058466867841310294,0.005547297052318625
cenace_price_mean_lag1_sd,0.0017580530390527939,0.00726008434125965,0.00659874551321562
cenace_congestion_mean_lag7,0.0016801230372193378,0.005032348437311324,0.005366012834922592
cenace_congestion_share_lag7,0.0016747666370589408,0.00789583236272976,0.005909865487110692
dow_num,0.0015279387140518016,0.004891630512208607,0.004423334904463217
cenace_price_range_lag1,0.0014918995410554744,0.00584953705988839,0.005039701243609731
cenace_congestion_mean_lag1,0.0014100890408124173,0.005336591044494934,0.00438707806098401
cenace_congestion_share_lag1,0.001390063677859341,0.004090132409125606,0.004423334904463217
cenace_price_range_lag7,0.0013896308721824964,0.0033908150466116305,0.004894673869692905
hist_outage_count_env_30d,0.001297133728214339,0.0011925096751479846,0.0031906022261701896
month,0.0011544915845762317,0.0010187000029931157,0.001450273739168268
cenace_congestion_max_lag1,0.0010852517270062458,0.00438271486095105,0.00373445487835829
dow_sin,0.0010548695287526662,0.002270141719947822,0.0027917769478989158
cenace_congestion_mean_lag1_sd,9.878890037027706e-4,0.0037205683569721195,0.0035531706609622567
cenace_n_substations,8.597188790780003e-4,0.00218666245708817,0.002900547478336536
dow_cos,6.920095755327583e-4,0.0016983577442521625,0.0021028969217939887
month_sin,6.472618853008993e-4,0.0011269712738528038,0.0018490990174395417
hist_outage_rate_30d,5.310619329888854e-4,0.0011568219787125476,0.0012689895217722345
hist_outage_count_tech_30d,2.333283732639089e-4,0.0020674161192585708,0.0018490990174395417
clim_n_obs,2.2152172492786502e-4,3.1958360294867647e-4,6.526231826257206e-4
is_holiday,1.5976138662480494e-4,1.8088766441342203e-4,3.988252782712737e-4
is_weekend,1.226763231431354e-4,6.137682190372343e-4,2.537979043544469e-4
is_public_holiday,1.2158956863372465e-4,2.7445239891921267e-4,3.988252782712737e-4
has_weather,1.3808309539363199e-6,1.985772281941102e-7,3.62568434792067e-5
