method,policy_type,policy_target,selected_split,selected_threshold,val_precision,val_recall,val_alerts_per_day,val_f1,test_precision,test_recall,test_alerts_per_day,test_f1,test_kappa,test_tp,test_fp,test_tn,test_fn,notes
raw,precision_floor,0.05,validation_full,0.75,0.05165238678090575,0.3734513274336283,67.33516483516483,0.090752688172043,0.057353635212002284,0.431588785046729,74.14180478821363,0.10125194588787301,0.09484406206331678,2309,37950,1290851,3041,raw probabilities; threshold selected on full validation
raw,precision_floor,0.1,validation_full,0.91,0.10492923377257199,0.12684365781710916,11.258241758241759,0.11485042735042736,0.12018567306486012,0.17906542056074767,14.679558011049723,0.14383304556714963,0.1397044489781783,958,7013,1321788,4392,raw probabilities; threshold selected on full validation
raw,precision_floor,0.15,validation_full,0.955,0.1601423487544484,0.05309734513274336,3.087912087912088,0.07975188303057155,0.19031857674803476,0.08598130841121496,4.4511970534069984,0.11844985193768506,0.11624421306386538,460,1957,1326844,4890,raw probabilities; threshold selected on full validation
raw,alerts_per_day_cap,5,validation_full,0.945,0.1412556053811659,0.074336283185840707,4.9010989010989015,0.09741012756088133,0.16942857142857143,0.1108411214953271,6.445672191528545,0.13401129943502824,0.1312558308248391,593,2907,1325894,4757,raw probabilities; threshold selected on full validation
raw,alerts_per_day_cap,10,validation_full,0.92,0.10987074030552292,0.11032448377581121,9.351648351648352,0.11009714453929938,0.12966333030027297,0.15981308411214953,12.143646408839778,0.14316811788345613,0.1393574530522633,855,5739,1323062,4495,raw probabilities; threshold selected on full validation
raw,alerts_per_day_cap,20,validation_full,0.88,0.09049079754601227,0.17404129793510326,17.912087912087912,0.11907164480322906,0.09978684771453383,0.23626168224299066,23.32780847145488,0.14031192762391076,0.13543701629189525,1264,11403,1317398,4086,raw probabilities; threshold selected on full validation
raw,alerts_per_day_cap,30,validation_full,0.84,0.07354838709677419,0.23539823008849559,29.807692307692307,0.11207865168539326,0.08164086064749648,0.30355140186915885,36.63351749539595,0.12867443150305047,0.12313241909697473,1624,18268,1310533,3726,raw probabilities; threshold selected on full validation
raw,f1_max,NA,validation_full,0.89,0.09618747813920951,0.16224188790560473,15.708791208791208,0.12077294685990338,0.1046131492916818,0.21532710280373832,20.279926335174952,0.14081408140814083,0.1361512866805149,1152,9860,1318941,4198,raw probabilities; threshold selected on full validation
platt,precision_floor,0.05,validation_threshold_select,0.025,0.05003932363350374,0.4552772808586762,111.78021978021978,0.09016829052258636,0.05450975081256772,0.4514018691588785,81.59116022099448,0.09727313006001531,0.09076669913356182,2415,41889,1286912,2935,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,precision_floor,0.1,validation_threshold_select,0.061,0.10159965412883701,0.2101967799642218,25.417582417582416,0.136986301369863,0.103252177003732,0.21719626168224299,20.7255985267035,0.1399662731871838,0.1352656472785462,1162,10092,1318709,4188,platt calibration; threshold selected on threshold-select subset (strict mode)
