method,window_id,start_date,end_date,n_days,n_rows,n_positives,threshold,precision,recall,f1,alerts_per_day,note
raw,1,2020-07-01,2020-07-30,30,73710,360,0.91,0.10669975186104218,0.2388888888888889,0.14751286449399656,26.866666666666667,ok
raw,2,2020-07-31,2020-08-29,30,73710,325,0.91,0.07218045112781955,0.1476923076923077,0.09696969696969698,22.166666666666668,ok
raw,3,2020-08-30,2020-10-02,30,73710,248,0.91,0.08823529411764706,0.14516129032258066,0.10975609756097562,13.6,ok
raw,4,2020-10-03,2020-11-01,30,73710,225,0.91,0.0945945945945946,0.06222222222222222,0.07506702412868634,4.933333333333334,ok
raw,5,2020-11-02,2020-12-01,30,73710,154,0.91,0.14772727272727273,0.08441558441558442,0.10743801652892562,2.933333333333333,ok
raw,6,2020-12-02,2020-12-31,30,73710,148,0.91,0.07692307692307693,0.013513513513513514,0.022988505747126436,0.8666666666666667,ok
raw,7,2021-01-01,2021-01-30,30,73710,131,0.91,0,0,NA,0.8666666666666667,ok
raw,8,2021-01-31,2021-03-01,30,73710,191,0.91,0.037037037037037035,0.005235602094240838,0.009174311926605505,0.9,ok
raw,9,2021-03-02,2021-03-31,30,73710,126,0.91,0.1111111111111111,0.03968253968253968,0.05847953216374269,1.5,ok
raw,10,2021-04-01,2021-04-30,30,73710,235,0.91,0.1144578313253012,0.08085106382978724,0.094763092269326693,5.533333333333333,ok
raw,11,2021-05-01,2021-05-30,30,73710,479,0.91,0.1726315789473684,0.17118997912317327,0.17190775681341716,15.833333333333334,ok
raw,12,2021-05-31,2021-06-29,30,73710,540,0.91,0.1444332998996991,0.26666666666666666,0.18737800910865324,33.233333333333334,ok
raw,13,2021-06-30,2021-07-29,30,73710,503,0.91,0.1343906510851419,0.32007952286282304,0.18930041152263372,39.93333333333333,ok
raw,14,2021-07-30,2021-08-30,30,73710,615,0.91,0.11862745098039215,0.1967479674796748,0.14801223241590214,34,ok
raw,15,2021-08-31,2021-09-29,30,73710,544,0.91,0.12489592006661115,0.2757352941176471,0.17191977077363896,40.03333333333333,ok
raw,16,2021-09-30,2021-10-29,30,73710,284,0.91,0.12629399585921325,0.2147887323943662,0.1590612777053455,16.1,ok
raw,17,2021-10-30,2021-11-28,30,73710,129,0.91,0.06611570247933884,0.06201550387596899,0.064,4.033333333333333,ok
raw,18,2021-11-29,2021-12-28,30,73710,102,0.91,0.09859154929577464,0.06862745098039216,0.08092485549132948,2.3666666666666667,ok
raw,19,2021-12-29,2021-12-31,3,7371,11,0.91,NA,0,NA,0,ok
platt,1,2020-07-01,2020-07-30,30,73710,360,0.061,0.09208103130755065,0.2777777777777778,0.13831258644536654,36.2,ok
platt,2,2020-07-31,2020-08-29,30,73710,325,0.061,0.06716417910447761,0.19384615384615383,0.09976247030878858,31.266666666666666,ok
platt,3,2020-08-30,2020-10-02,30,73710,248,0.061,0.07627118644067797,0.1814516129032258,0.10739856801909309,19.666666666666668,ok
platt,4,2020-10-03,2020-11-01,30,73710,225,0.061,0.07792207792207792,0.08,0.07894736842105264,7.7,ok
platt,5,2020-11-02,2020-12-01,30,73710,154,0.061,0.13333333333333333,0.1038961038961039,0.11678832116788321,4,ok
platt,6,2020-12-02,2020-12-31,30,73710,148,0.061,0.0625,0.02027027027027027,0.030612244897959186,1.6,ok
platt,7,2021-01-01,2021-01-30,30,73710,131,0.061,0.038461538461538464,0.015267175572519083,0.02185792349726776,1.7333333333333334,ok
platt,8,2021-01-31,2021-03-01,30,73710,191,0.061,0.06557377049180328,0.020942408376963352,0.031746031746031744,2.033333333333333,ok
platt,9,2021-03-02,2021-03-31,30,73710,126,0.061,0.08,0.06349206349206349,0.07079646017699115,3.3333333333333335,ok
platt,10,2021-04-01,2021-04-30,30,73710,235,0.061,0.10931174089068826,0.1148936170212766,0.11203319502074689,8.233333333333333,ok
platt,11,2021-05-01,2021-05-30,30,73710,479,0.061,0.1407185628742515,0.19624217118997914,0.16390584132519614,22.266666666666666,ok
platt,12,2021-05-31,2021-06-29,30,73710,540,0.061,0.12348322626695217,0.32037037037037036,0.17825862957238536,46.7,ok
platt,13,2021-06-30,2021-07-29,30,73710,503,0.061,0.11212675198049969,0.3658051689860835,0.17164179104477612,54.7,ok
platt,14,2021-07-30,2021-08-30,30,73710,615,0.061,0.10762942779291552,0.25691056910569104,0.15170427268362938,48.93333333333333,ok
platt,15,2021-08-31,2021-09-29,30,73710,544,0.061,0.10635696821515893,0.31985294117647056,0.1596330275229358,54.53333333333333,ok
platt,16,2021-09-30,2021-10-29,30,73710,284,0.061,0.10534351145038168,0.24295774647887325,0.14696485623003194,21.833333333333332,ok
platt,17,2021-10-30,2021-11-28,30,73710,129,0.061,0.08121827411167512,0.12403100775193798,0.09815950920245398,6.566666666666666,ok
platt,18,2021-11-29,2021-12-28,30,73710,102,0.061,0.06956521739130435,0.0784313725490196,0.07373271889400922,3.8333333333333335,ok
platt,19,2021-12-29,2021-12-31,3,7371,11,0.061,NA,0,NA,0,ok
beta,1,2020-07-01,2020-07-30,30,73710,360,0.057,0.09191176470588236,0.2777777777777778,0.13812154696132597,36.266666666666666,ok
beta,2,2020-07-31,2020-08-29,30,73710,325,0.057,0.0669500531349628,0.19384615384615383,0.0995260663507109,31.366666666666667,ok
beta,3,2020-08-30,2020-10-02,30,73710,248,0.057,0.07575757575757576,0.1814516129032258,0.10688836104513065,19.8,ok
beta,4,2020-10-03,2020-11-01,30,73710,225,0.057,0.07758620689655173,0.08,0.0787746170678337,7.733333333333333,ok
beta,5,2020-11-02,2020-12-01,30,73710,154,0.057,0.13333333333333333,0.1038961038961039,0.11678832116788321,4,ok
beta,6,2020-12-02,2020-12-31,30,73710,148,0.057,0.0625,0.02027027027027027,0.030612244897959186,1.6,ok
beta,7,2021-01-01,2021-01-30,30,73710,131,0.057,0.03773584905660377,0.015267175572519083,0.02173913043478261,1.7666666666666666,ok
beta,8,2021-01-31,2021-03-01,30,73710,191,0.057,0.06557377049180328,0.020942408376963352,0.031746031746031744,2.033333333333333,ok
beta,9,2021-03-02,2021-03-31,30,73710,126,0.057,0.08,0.06349206349206349,0.07079646017699115,3.3333333333333335,ok
beta,10,2021-04-01,2021-04-30,30,73710,235,0.057,0.10931174089068826,0.1148936170212766,0.11203319502074689,8.233333333333333,ok
beta,11,2021-05-01,2021-05-30,30,73710,479,0.057,0.1411589895988113,0.19832985386221294,0.16493055555555552,22.433333333333334,ok
beta,12,2021-05-31,2021-06-29,30,73710,540,0.057,0.12295664534470505,0.32037037037037036,0.17770929635336416,46.9,ok
beta,13,2021-06-30,2021-07-29,30,73710,503,0.057,0.11199026171637248,0.3658051689860835,0.17148182665424044,54.766666666666666,ok
beta,14,2021-07-30,2021-08-30,30,73710,615,0.057,0.10847457627118644,0.2601626016260163,0.15311004784688995,49.166666666666664,ok
beta,15,2021-08-31,2021-09-29,30,73710,544,0.057,0.10596833130328867,0.31985294117647056,0.15919487648673378,54.733333333333334,ok
beta,16,2021-09-30,2021-10-29,30,73710,284,0.057,0.10518292682926829,0.24295774647887325,0.14680851063829786,21.866666666666667,ok
beta,17,2021-10-30,2021-11-28,30,73710,129,0.057,0.08121827411167512,0.12403100775193798,0.09815950920245398,6.566666666666666,ok
beta,18,2021-11-29,2021-12-28,30,73710,102,0.057,0.06896551724137931,0.0784313725490196,0.07339449541284404,3.8666666666666667,ok
beta,19,2021-12-29,2021-12-31,3,7371,11,0.057,NA,0,NA,0,ok
