threshold,tp,fp,tn,fn,n_alerts,alerts_per_day,precision,recall,specificity,f1,accuracy,kappa,split,method
1e-4,1695,445453,26,0,447148,2456.8571428571427,0.003790691225276642,1,5.836414286644264e-5,0.007552752298687961,0.003848613738723629,4.4248079057459087e-7,validation,raw
2e-4,1695,445044,435,0,446739,2454.6098901098903,0.0037941616917260414,1,9.76477005650098e-4,0.00755964088360829,0.00476324652148828,7.409795842739751e-6,validation,raw
3e-4,1695,443612,1867,0,445307,2446.7417582417584,0.0038063628013931964,1,0.004190994412755708,0.00758385868519604,0.0079655793941508235,3.1904381514221295e-5,validation,raw
4e-4,1695,441418,4061,0,443113,2434.686813186813,0.0038252093709730925,1,0.009116030160793213,0.007621265804571859,0.012871946937881004,6.973901614429635e-5,validation,raw
5e-4,1695,438840,6639,0,440535,2420.521978021978,0.003847594402260887,1,0.014903059403473565,0.007665694321959161,0.01863704061506259,1.1467528028774684e-4,validation,raw
6e-4,1695,436049,9430,0,437744,2405.186813186813,0.0038721261742022733,1,0.02116822566271362,0.007714381290691085,0.02487845894439301,1.6391864553766305e-4,validation,raw
7e-4,1695,433219,12260,0,434914,2389.6373626373625,0.003897322229222329,1,0.027520938136253337,0.007764384151494817,0.031207091646652085,2.144929218608597e-4,validation,raw
8e-4,1695,430395,15084,0,432090,2374.120879120879,0.00392279386238978,1,0.03386018196143926,0.007814931360005533,0.03752230675307598,2.6561774687610176e-4,validation,raw
9e-4,1695,427558,17921,0,429253,2358.532967032967,0.003948720218612333,1,0.0402286078580584,0.007866378310144147,0.043866593317142766,3.176525748380229e-4,validation,raw
0.001,1695,424675,20804,0,426370,2342.6923076923076,0.003975420409503483,1,0.04670029339205664,0.007919358041418943,0.05031374811594592,3.712376774614557e-4,validation,raw
0.0011,1695,421981,23498,0,423676,2327.8901098901097,0.004000698647079372,1,0.05274771650291035,0.007969513671594914,0.056338248645940954,4.219663894951694e-4,validation,raw
0.0012,1695,419451,26028,0,421146,2313.989010989011,0.004024732515564674,1,0.058426996558760345,0.008017197953840807,0.06199600155644112,4.70195497776328e-4,validation,raw
0.0013,1695,416975,28504,0,418670,2300.3846153846152,0.004048534645424797,1,0.06398505877942619,0.00806442020624933,0.06753299610442468,5.179572798958382e-4,validation,raw
0.0014,1695,414488,30991,0,416183,2286.71978021978,0.004072727622223877,1,0.06956781352207399,0.008112415585410095,0.07309458957810606,5.665010043404456e-4,validation,raw
0.0015,1695,412039,33440,0,413734,2273.263736263736,0.00409683516462268,1,0.07506526682514776,0.008160239174443768,0.07857120494483132,6.148709582610767e-4,validation,raw
0.0016,1695,409749,35730,0,411444,2260.6813186813188,0.004119637180272406,1,0.08020580094684598,0.008205470797963882,0.08369225402192434,6.606193182661262e-4,validation,raw
0.0017,1695,407532,37947,0,409227,2248.5,0.0041419554428226875,1,0.08518246651357303,0.00824974082672624,0.08865005568302271,7.053950827275733e-4,validation,raw
0.0018,1695,405287,40192,0,406982,2236.164835164835,0.004164803357396642,1,0.0902219857726178,0.008295059423456666,0.0936704727913519,7.512313781928623e-4,validation,raw
0.0019,1695,403072,42407,0,404767,2223.9945054945056,0.0041875943444006055,1,0.09519416178989358,0.008340263050420458,0.09862380192050521,7.969513747231144e-4,validation,raw
0.002,1695,400936,44543,0,402631,2212.2582417582416,0.00420980997489016,1,0.0999890006038444,0.008384323540905111,0.10340046603782868,8.415151613173813e-4,validation,raw
0.0021,1695,398841,46638,0,400536,2200.747252747253,0.0042318293486727785,1,0.1046918036540443,0.008427992869768865,0.10808544325027841,8.856833033132823e-4,validation,raw
0.0022,1695,396749,48730,0,398444,2189.252747252747,0.004254048247683489,1,0.1093878723800673,0.008472055960553709,0.11276371166481057,9.302496900446857e-4,validation,raw
0.0023,1695,394696,50783,0,396391,2177.9725274725274,0.00427608094028371,1,0.11399639489179063,0.008515747853478898,0.11735476570641405,9.744406242215982e-4,validation,raw
0.0024,1695,392673,52806,0,394368,2166.8571428571427,0.004298016066212269,1,0.118537574161745,0.008559244362639279,0.12187873176884166,0.0010184339283444016,validation,raw
0.0025,1695,390730,54749,0,392425,2156.1813186813188,0.004319296680894438,1,0.12289917145364877,0.008601441185425758,0.12622379655346688,0.0010611126877695652,validation,raw
0.0026,1695,388851,56628,0,390546,2145.8571428571427,0.004340077737321596,1,0.12711710316311206,0.008642645720360696,0.13042574031585022,0.0011027878129905148,validation,raw
0.0027,1695,387078,58401,0,388773,2136.1153846153848,0.0043598706700310975,1,0.13109708875165832,0.008681889424997693,0.13439063988514538,0.0011424797013942915,validation,raw
0.0028,1695,385205,60274,0,386900,2125.8241758241757,0.004380976996639959,1,0.13530155181276782,0.00872373550869157,0.13857916605169351,0.0011848036762857877,validation,raw
0.0029,1695,383485,61994,0,385180,2116.3736263736264,0.004400540007269329,1,0.13916256434085558,0.008762520193861067,0.14242554352444461,0.0012240312787488042,validation,raw
0.003,1695,381717,63762,0,383412,2106.6593406593406,0.004420831898845107,1,0.14313132605577367,0.008802748327088317,0.14637926176387714,0.0012647188010261202,validation,raw
0.0031,1695,380029,65450,0,381724,2097.3846153846152,0.004440381008267754,1,0.14692050579264118,0.008841502377294813,0.1501540787255073,0.0013039153950254747,validation,raw
