decile,n,mean_pred,mean_actual,metric,ratio
1,133416,2.5704249207955426e-5,0,E_count,0
2,133415,6.806927408211553e-5,7.495409061949556e-6,E_count,0.11011442626679774
3,133415,1.278126471510708e-4,5.246786343364689e-5,E_count,0.4105060383549635
4,133415,2.1600003205775672e-4,1.9488063561068846e-4,E_count,0.9022250309600829
5,133415,3.6008874560223615e-4,2.4734849904433536e-4,E_count,0.6869098300494048
6,133415,6.278714520100981e-4,8.469812240002998e-4,E_count,1.3489723434450365
7,133415,0.0012242482032369664,0.0021137053554697747,E_count,1.726533353188548
8,133415,0.00277516302383987,0.003987557620957163,E_count,1.4368732887770164
9,133415,0.006901471549003184,0.007630326425064648,E_count,1.1056086185223406
10,133415,0.03521243550282563,0.03801671476220815,E_count,1.0796388894814586
1,133416,0.0158874629069115,0.0018063800443735196,E_minutes,0.113698458649914
2,133415,0.037117143053046926,0.045062399280399436,E_minutes,1.2140589381030038
3,133415,0.06385569295219519,0.030221489337838147,E_minutes,0.4732779168250998
4,133415,0.10316476492137332,0.14948843833136158,E_minutes,1.4490261131820898
5,133415,0.16694026539363307,0.14336468912791164,E_minutes,0.8587783707535631
6,133415,0.28336072626162,0.7812689727543678,E_minutes,2.757153339708204
7,133415,0.5397386381958369,1.2919461829630292,E_minutes,2.393651466720202
8,133415,1.2191393729454914,2.497575235168677,E_minutes,2.0486379905313297
9,133415,3.058518564767133,6.458599108045786,E_minutes,2.111675627032699
10,133415,16.36004466721184,37.038496420937626,E_minutes,2.263960592672997
