bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split
1,0,0.1,0.05,301754,0.020528714856209326,2.319770409007979e-4,equal_width,validation
2,0.1,0.2,0.15000000000000002,35217,0.14461732905470304,0.002101257915211528,equal_width,validation
3,0.2,0.30000000000000004,0.25,23266,0.24830550907553894,0.003094644545689052,equal_width,validation
4,0.30000000000000004,0.4,0.35000000000000003,19626,0.3486697782781234,0.005044328951391228,equal_width,validation
5,0.4,0.5,0.45,17502,0.44951938345233117,0.0072563135641641316,equal_width,validation
6,0.5,0.6000000000000001,0.55,15675,0.5483722322371207,0.009186602870813385,equal_width,validation
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,12849,0.6483688891671567,0.01509845124134181,equal_width,validation
8,0.7000000000000001,0.8,0.75,10077,0.7475099100105533,0.024412027389103794,equal_width,validation
9,0.8,0.9,0.8500000000000001,7466,0.8468193771163419,0.04085186177337261,equal_width,validation
10,0.9,1,0.95,3742,0.936439613665826,0.09727418492784613,equal_width,validation
1,0,0.1,0.05,900426,0.020821900375489956,2.5876640612291927e-4,equal_width,test
2,0.1,0.2,0.15000000000000002,115170,0.14400057859781515,0.0018841712251455463,equal_width,test
3,0.2,0.30000000000000004,0.25,69677,0.2474925470672192,0.0037028000631483668,equal_width,test
4,0.30000000000000004,0.4,0.35000000000000003,54975,0.34844178597240766,0.0048749431559803914,equal_width,test
5,0.4,0.5,0.45,47332,0.4489340342296044,0.007838248964759644,equal_width,test
6,0.5,0.6000000000000001,0.55,40750,0.5490329237379179,0.010453987730060827,equal_width,test
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,34245,0.6481804154131215,0.015564315958533328,equal_width,test
8,0.7000000000000001,0.8,0.75,27810,0.748062470222025,0.023049262855087987,equal_width,test
9,0.8,0.9,0.8500000000000001,23467,0.848554720324184,0.0401414752631362,equal_width,test
10,0.9,1,0.95,12928,0.9376244430504005,0.10496596534653453,equal_width,test
