bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split,method
1,0,0.1,0.05,900426,0.020821900375489956,2.5876640612291927e-4,equal_width,test,raw
2,0.1,0.2,0.15000000000000002,115170,0.14400057859781515,0.0018841712251455463,equal_width,test,raw
3,0.2,0.30000000000000004,0.25,69677,0.2474925470672192,0.0037028000631483668,equal_width,test,raw
4,0.30000000000000004,0.4,0.35000000000000003,54975,0.34844178597240766,0.0048749431559803914,equal_width,test,raw
5,0.4,0.5,0.45,47332,0.4489340342296044,0.007838248964759644,equal_width,test,raw
6,0.5,0.6000000000000001,0.55,40750,0.5490329237379179,0.010453987730060827,equal_width,test,raw
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,34245,0.6481804154131215,0.015564315958533328,equal_width,test,raw
8,0.7000000000000001,0.8,0.75,27810,0.748062470222025,0.023049262855087987,equal_width,test,raw
9,0.8,0.9,0.8500000000000001,23467,0.848554720324184,0.0401414752631362,equal_width,test,raw
10,0.9,1,0.95,12928,0.9376244430504005,0.10496596534653453,equal_width,test,raw
1,0,0.1,0.05,1321516,0.003597665206122886,0.0033529673496158446,equal_width,test,platt
2,0.1,0.2,0.15000000000000002,4441,0.13475046801764987,0.13262778653456425,equal_width,test,platt
3,0.2,0.30000000000000004,0.25,692,0.23546256637837232,0.25,equal_width,test,platt
4,0.30000000000000004,0.4,0.35000000000000003,115,0.342302875323631,0.3565217391304348,equal_width,test,platt
5,0.4,0.5,0.45,16,0.4297809380914881,0.75,equal_width,test,platt
6,0.5,0.6000000000000001,0.55,0,0.55,NA,equal_width,test,platt
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,0.6500000000000001,NA,equal_width,test,platt
8,0.7000000000000001,0.8,0.75,0,0.75,NA,equal_width,test,platt
9,0.8,0.9,0.8500000000000001,0,0.8500000000000001,NA,equal_width,test,platt
10,0.9,1,0.95,0,0.95,NA,equal_width,test,platt
1,0,0.1,0.05,1326554,0.0025574935662618305,0.0039546072003213955,equal_width,test,isotonic
2,0.1,0.2,0.15000000000000002,150,0.14049670120284696,0,equal_width,test,isotonic
3,0.2,0.30000000000000004,0.25,75,0.23228811073316805,0,equal_width,test,isotonic
4,0.30000000000000004,0.4,0.35000000000000003,1,0.30617275936918864,0,equal_width,test,isotonic
5,0.4,0.5,0.45,0,0.45,NA,equal_width,test,isotonic
6,0.5,0.6000000000000001,0.55,0,0.55,NA,equal_width,test,isotonic
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,0.6500000000000001,NA,equal_width,test,isotonic
8,0.7000000000000001,0.8,0.75,0,0.75,NA,equal_width,test,isotonic
9,0.8,0.9,0.8500000000000001,0,0.8500000000000001,NA,equal_width,test,isotonic
10,0.9,1,0.95,0,0.95,NA,equal_width,test,isotonic
1,0,0.1,0.05,1322200,0.003634045767925865,0.003399636968693888,equal_width,test,beta
2,0.1,0.2,0.15000000000000002,4019,0.13334772540783757,0.14431450609604346,equal_width,test,beta
3,0.2,0.30000000000000004,0.25,481,0.2317134823999558,0.2869022869022869,equal_width,test,beta
4,0.30000000000000004,0.4,0.35000000000000003,76,0.33161977823965794,0.381578947368421,equal_width,test,beta
5,0.4,0.5,0.45,4,0.4155830955342221,1,equal_width,test,beta
6,0.5,0.6000000000000001,0.55,0,0.55,NA,equal_width,test,beta
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,0.6500000000000001,NA,equal_width,test,beta
8,0.7000000000000001,0.8,0.75,0,0.75,NA,equal_width,test,beta
9,0.8,0.9,0.8500000000000001,0,0.8500000000000001,NA,equal_width,test,beta
10,0.9,1,0.95,0,0.95,NA,equal_width,test,beta
