bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split
1,2.2990895875674015e-5,3.548374999897816e-5,2.9237322937326086e-5,132678,2.5186524634714147e-5,0,quantile,test_platt_scaled
2,3.548374999897816e-5,7.982545661186063e-5,5.765460330541939e-5,132678,5.6382476501801094e-5,7.537044574070029e-6,quantile,test_platt_scaled
3,7.982545661186063e-5,1.4597097456825762e-4,1.1289821559005913e-4,132678,1.1050539261415111e-4,3.014817829636668e-5,quantile,test_platt_scaled
4,1.4597097456825762e-4,2.5337068971609684e-4,1.9967083214217723e-4,132678,1.950381473364472e-4,1.2059271318529431e-4,quantile,test_platt_scaled
5,2.5337068971609684e-4,4.384417104955682e-4,3.459062001058325e-4,132678,3.3696666909667744e-4,1.5827793605573606e-4,quantile,test_platt_scaled
6,4.384417104955682e-4,8.018261990151306e-4,6.201339547553494e-4,132678,5.967448387597086e-4,4.823708527411741e-4,quantile,test_platt_scaled
7,8.018261990151306e-4,0.0016563773937067982,0.0012291017963609644,132678,0.001166234096500231,0.001296371666742096,quantile,test_platt_scaled
8,0.0016563773937067982,0.003876299673250946,0.0027663385334788723,132678,0.002584928816308287,0.002494761754020645,quantile,test_platt_scaled
9,0.003876299673250946,0.010026776185020252,0.006951537929135599,132678,0.006387576192972542,0.006044709748412633,quantile,test_platt_scaled
10,0.010026776185020252,0.47279453406421196,0.2414106551246161,132678,0.030461330909144196,0.028904565941595267,quantile,test_platt_scaled
