bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split
1,3.5162840504199266e-5,0.0016915409709326924,8.633519057184458e-4,44718,8.5981351583164e-4,0,quantile,validation
2,0.0016915409709326924,0.004268421977758408,0.0029799814743455503,44717,0.002874368113441922,4.472571952502371e-5,quantile,validation
3,0.004268421977758408,0.008568982128053904,0.006418702052906155,44717,0.006235119490649422,0,quantile,validation
4,0.008568982128053904,0.015755252912640575,0.01216211752034724,44718,0.011849004999921102,1.3417415805719573e-4,quantile,validation
5,0.015755252912640575,0.02835112437605858,0.022053188644349575,44717,0.021426649427323665,3.578057562000699e-4,quantile,validation
6,0.02835112437605858,0.05467695966362955,0.041514042019844065,44717,0.03958345583218932,3.5780575620007396e-4,quantile,validation
7,0.05467695966362955,0.12529077380895626,0.08998386673629291,44718,0.08395440829157613,0.0012075674225144693,quantile,validation
8,0.12529077380895626,0.28808606266975406,0.20668841823935516,44717,0.1984051342362211,0.002571728872688327,quantile,validation
9,0.28808606266975406,0.5303668856620789,0.4092264741659165,44717,0.40403091094480315,0.005948520696826946,quantile,validation
10,0.5303668856620789,0.9924988150596619,0.7614328503608704,44718,0.7080751691341596,0.02728207880495372,quantile,validation
1,2.5940922569134273e-5,0.0016422929824329907,8.341169525010625e-4,132678,8.324900950650719e-4,0,quantile,test
2,0.0016422929824329907,0.0041438544169068335,0.002893073699669912,132678,0.0027984549647961797,7.537044574070029e-6,quantile,test
3,0.0041438544169068335,0.008235186710953715,0.0061895205639302744,132678,0.006014950577427912,3.014817829636668e-5,quantile,test
4,0.008235186710953715,0.015371165052056312,0.011803175881505014,132678,0.011457057606310325,1.2059271318529431e-4,quantile,test
5,0.015371165052056312,0.028418063186109066,0.021894614119082688,132678,0.02120778880810865,1.5827793605573606e-4,quantile,test
6,0.028418063186109066,0.05517240166664125,0.04179523242637516,132678,0.040003516948719675,4.823708527411741e-4,quantile,test
7,0.05517240166664125,0.1182435527443886,0.08670797720551493,132678,0.08223271322460368,0.001296371666742096,quantile,test
8,0.1182435527443886,0.2624173939228058,0.19033047333359718,132678,0.18123854567228076,0.002494761754020645,quantile,test
9,0.2624173939228058,0.5153537094593051,0.38888555169105543,132678,0.37998044356513017,0.006044709748412633,quantile,test
10,0.5153537094593051,0.9944762587547302,0.7549149841070177,132678,0.7092156322098179,0.028904565941595267,quantile,test
