bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split,method
1,2.5940922569134273e-5,0.0016422929824329907,8.341169525010625e-4,132678,8.324900950650719e-4,0,quantile,test,raw
2,0.0016422929824329907,0.0041438544169068335,0.002893073699669912,132678,0.0027984549647961797,7.537044574070029e-6,quantile,test,raw
3,0.0041438544169068335,0.008235186710953715,0.0061895205639302744,132678,0.006014950577427912,3.014817829636668e-5,quantile,test,raw
4,0.008235186710953715,0.015371165052056312,0.011803175881505014,132678,0.011457057606310325,1.2059271318529431e-4,quantile,test,raw
5,0.015371165052056312,0.028418063186109066,0.021894614119082688,132678,0.02120778880810865,1.5827793605573606e-4,quantile,test,raw
6,0.028418063186109066,0.05517240166664125,0.04179523242637516,132678,0.040003516948719675,4.823708527411741e-4,quantile,test,raw
7,0.05517240166664125,0.1182435527443886,0.08670797720551493,132678,0.08223271322460368,0.001296371666742096,quantile,test,raw
8,0.1182435527443886,0.2624173939228058,0.19033047333359718,132678,0.18123854567228076,0.002494761754020645,quantile,test,raw
9,0.2624173939228058,0.5153537094593051,0.38888555169105543,132678,0.37998044356513017,0.006044709748412633,quantile,test,raw
10,0.5153537094593051,0.9944762587547302,0.7549149841070177,132678,0.7092156322098179,0.028904565941595267,quantile,test,raw
1,2.2990895875674015e-5,3.548374999897816e-5,2.9237322937326086e-5,132678,2.5186524634714147e-5,0,quantile,test,platt
2,3.548374999897816e-5,7.982545661186063e-5,5.765460330541939e-5,132678,5.6382476501801094e-5,7.537044574070029e-6,quantile,test,platt
3,7.982545661186063e-5,1.4597097456825762e-4,1.1289821559005913e-4,132678,1.1050539261415111e-4,3.014817829636668e-5,quantile,test,platt
4,1.4597097456825762e-4,2.5337068971609684e-4,1.9967083214217723e-4,132678,1.950381473364472e-4,1.2059271318529431e-4,quantile,test,platt
5,2.5337068971609684e-4,4.384417104955682e-4,3.459062001058325e-4,132678,3.3696666909667744e-4,1.5827793605573606e-4,quantile,test,platt
6,4.384417104955682e-4,8.018261990151306e-4,6.201339547553494e-4,132678,5.967448387597086e-4,4.823708527411741e-4,quantile,test,platt
7,8.018261990151306e-4,0.0016563773937067982,0.0012291017963609644,132678,0.001166234096500231,0.001296371666742096,quantile,test,platt
8,0.0016563773937067982,0.003876299673250946,0.0027663385334788723,132678,0.002584928816308287,0.002494761754020645,quantile,test,platt
9,0.003876299673250946,0.010026776185020252,0.006951537929135599,132678,0.006387576192972542,0.006044709748412633,quantile,test,platt
10,0.010026776185020252,0.47279453406421196,0.2414106551246161,132678,0.030461330909144196,0.028904565941595267,quantile,test,platt
1,0,1.4748542652997563e-5,7.3742713264987815e-6,132679,4.632978564302959e-6,0.004348841941829388,quantile,test,isotonic
2,1.4748542652997563e-5,3.450707948597338e-5,2.4627811069485472e-5,132677,2.0738216353758192e-5,0.0016430881011780087,quantile,test,isotonic
3,3.450707948597338e-5,1.7827151815510875e-4,1.0638929882054107e-4,132678,1.012101644725311e-4,0.003444429370354955,quantile,test,isotonic
4,1.7827151815510875e-4,4.099309914715703e-4,2.9410125481333955e-4,132678,2.868685787331565e-4,0.0020651502132988174,quantile,test,isotonic
5,4.099309914715703e-4,5.921501953057286e-4,5.010405933886494e-4,132678,5.227446226595515e-4,0.0014772607365189725,quantile,test,isotonic
6,5.921501953057286e-4,0.0012622840900822876,9.27217142694008e-4,132678,8.985513227681708e-4,0.00399463362426394,quantile,test,isotonic
7,0.0012622840900822876,0.002112840379213508,0.001687562234647898,132678,0.001665382710688337,0.004672967635931295,quantile,test,isotonic
8,0.002112840379213508,0.0031704346757359175,0.002641637527474713,132678,0.0025587820859427203,0.010589547626586744,quantile,test,isotonic
9,0.0031704346757359175,0.006223283492368659,0.004696859084052289,132678,0.004541682197833418,0.005200560756115018,quantile,test,isotonic
10,0.006223283492368659,0.30617275936918864,0.15619802143077866,132678,0.015262441103871939,0.0021028354361685934,quantile,test,isotonic
1,6.410497838086509e-7,2.9157026617184482e-5,1.4899038200496566e-5,132678,1.5439247465139627e-5,0,quantile,test,beta
2,2.9157026617184482e-5,6.845402725119383e-5,4.880552693418916e-5,132678,4.754211898917707e-5,7.537044574070029e-6,quantile,test,beta
3,6.845402725119383e-5,1.2918965559929326e-4,9.882184142524355e-5,132678,9.646952307889731e-5,3.014817829636668e-5,quantile,test,beta
4,1.2918965559929326e-4,2.3071805518654363e-4,1.7995385539291845e-4,132678,1.7534383084171263e-4,1.2059271318529431e-4,quantile,test,beta
5,2.3071805518654363e-4,4.104430279935154e-4,3.2058054159002955e-4,132678,3.1151283347490347e-4,1.5827793605573606e-4,quantile,test,beta
6,4.104430279935154e-4,7.727631074582273e-4,5.916030677258714e-4,132678,5.675147656356482e-4,4.823708527411741e-4,quantile,test,beta
7,7.727631074582273e-4,0.0016469434872862878,0.0012098532973722576,132678,0.0011438651517101117,0.001296371666742096,quantile,test,beta
8,0.0016469434872862878,0.003957029322595619,0.0028019864049409534,132678,0.0026115635304700046,0.002494761754020645,quantile,test,beta
9,0.003957029322595619,0.010301113672174067,0.007129071497384843,132678,0.006560128839994098,0.006044709748412633,quantile,test,beta
10,0.010301113672174067,0.4221360273337185,0.2162185705029463,132678,0.029767439852098503,0.028904565941595267,quantile,test,beta
