threshold,net_benefit,treat_all,treat_none,split,method
1e-4,0.0036908931358815905,0.003690839907426233,0,validation,raw
2e-4,0.0035920466171351514,0.0035911890612477402,0,validation,raw
3e-4,0.003494735441792086,0.0034915182789191663,0,validation,raw
4e-4,0.003399156493361208,0.0033918275544572735,0,validation,raw
5e-4,0.003305199988706577,0.003292116881876429,0,validation,raw
6e-4,0.003212857688180244,0.003192386255188604,0,validation,raw
7e-4,0.0031216218646320814,0.003092635668403373,0,validation,raw
8e-4,0.003031545892208048,0.0029928651155279127,0,validation,raw
9e-4,0.0029425354399149495,0.002893074590567001,0,validation,raw
0.001,0.0028546147797267048,0.0027932640875230137,0,validation,raw
0.0011,0.0027676490197351055,0.002693433600395926,0,validation,raw
0.0012,0.0026819205547965776,0.0025935831231833108,0,validation,raw
0.0013,0.002596753749075944,0.0024937126498803352,0,validation,raw
0.0014,0.00251270750189016,0.0023938221744797625,0,validation,raw
0.0015,0.0024292365771617615,0.0022939116909719485,0,validation,raw
0.0016,0.002346842874104074,0.002193981193344842,0,validation,raw
0.0017,0.0022650916940439897,0.002094030675583983,0,validation,raw
0.0018,0.0021842144288922115,0.001994060131672501,0,validation,raw
0.0019,0.002103705207184235,0.0018940695555911137,0,validation,raw
0.002,0.002024434669945472,0.001794058941318127,0,validation,raw
0.0021,0.0019455708925573665,0.0016940282828294328,0,validation,raw
0.0022,0.0018672480208739098,0.0015939775740985073,0,validation,raw
0.0023,0.0017875159569187703,0.0014939068090964124,0,validation,raw
0.0024,0.0017108367214556139,0.0013938159817917916,0,validation,raw
0.0025,0.0016343124938789926,0.0012937050861508682,0,validation,raw
0.0026,0.001558616397857766,0.0011935741161374484,0,validation,raw
0.0027,0.0014836423965247612,0.0010934230657129152,0,validation,raw
0.0028,0.001409601057846915,9.93251928836232e-4,0,validation,raw
0.0029,0.0013361750862040164,8.930606994639366e-4,0,validation,raw
0.003,0.001262839805941639,7.928493715501409e-4,0,validation,raw
0.0031,0.001190206073145383,6.926179390465354e-4,0,validation,raw
0.0032,0.001118147344312832,5.923663959023781e-4,0,validation,raw
0.0033,0.0010463218571955426,4.920947360645038e-4,0,validation,raw
0.0034,9.749585593168061e-4,3.9180295347731415e-4,0,validation,raw
0.0035,9.040988816356446e-4,2.9149104208278046e-4,0,validation,raw
0.0036,8.336944979186718e-4,1.9115899582044463e-4,0,validation,raw
0.0037,7.63793130164087e-4,9.0806808627412125e-05,0,validation,raw
0.0038,6.942193867896149e-4,-9.565525561643692e-6,0,validation,raw
0.0039,6.250258999718154e-4,-1.0995801281448586e-4,0,validation,raw
0.004,5.567134743179581e-4,-2.1037065920131472e-4,0,validation,raw
0.0041,4.868624296189396e-4,-3.1080347079476874e-4,0,validation,raw
0.0042,4.189969252021081e-4,-4.112564536699224e-4,0,validation,raw
0.0043,3.5194653481859925e-4,-5.117296139042979e-4,0,validation,raw
0.0044,2.848467367074512e-4,-6.12222957577852e-4,0,validation,raw
0.0045,2.1846105872576696e-4,-7.127364907729868e-4,0,validation,raw
0.0046,1.5244710954867785e-4,-8.132702195745517e-4,0,validation,raw
0.0047,8.631564250666333e-5,-9.138241500698373e-4,0,validation,raw
0.0048,2.0971285237566042e-5,-0.0010143982883485817,0,validation,raw
0.0049,-4.3945289384204195e-5,-0.001114992640502974,0,validation,raw
0.005,-1.0868926877541374e-4,-0.0012156072126276478,0,validation,raw
0.0051,-1.7306572275374707e-4,-0.0013162420108196902,0,validation,raw
0.0052,-2.3689762639996165e-4,-0.001416897041178638,0,validation,raw
0.0053,-3.007084169111044e-4,-0.0015175723098064834,0,validation,raw
0.0054,-3.633979421915601e-4,-0.0016182678228076706,0,validation,raw
0.0055,-4.2600810560854433e-4,-0.0017189835862890983,0,validation,raw
0.0056,-4.889920284260464e-4,-0.0018197196063601262,0,validation,raw
0.0057,-5.517567394994001e-4,-0.0019204758891325658,0,validation,raw
0.0058,-6.139901931095236e-4,-0.0020212524407206885,0,validation,raw
0.0059,-6.757558908656986e-4,-0.0021220492672412326,0,validation,raw
0.006,-7.375943100178628e-4,-0.00222286637481339,0,validation,raw
0.0061,-7.98997874565431e-4,-0.0023237037695588185,0,validation,raw
0.0062,-8.60358441095273e-4,-0.0024245614576016393,0,validation,raw
0.0063,-9.207746938970124e-4,-0.0025254394450684404,0,validation,raw
0.0064,-9.815623147540827e-4,-0.002626337738088274,0,validation,raw
0.0065,-0.0010422631332169699,-0.0027272563427926605,0,validation,raw
0.0066,-0.0011026110402876182,-0.002828195265315592,0,validation,raw
0.0067,-0.0011627148947193247,-0.0029291545117935266,0,validation,raw
0.0068,-0.0012224755534204841,-0.0030301340883653934,0,validation,raw
0.0069,-0.001281709841099299,-0.0031311340011726,0,validation,raw
0.007,-0.0013412326084548125,-0.0032321542563590227,0,validation,raw
0.0071,-0.0013998750212682325,-0.003333194860071014,0,validation,raw
0.0072,-0.0014581192955598564,-0.0034342558184574023,0,validation,raw
0.0073,-0.001515933097245911,-0.003535337137669496,0,validation,raw
0.0074,-0.0015738991312078308,-0.0036364388238610814,0,validation,raw
0.0075,-0.001631144792769062,-0.003737560883188421,0,validation,raw
0.0076,-0.0016887359437997031,-0.0038387033218102674,0,validation,raw
0.0077,-0.0017462512620282397,-0.003939866145887846,0,validation,raw
0.0078,-0.001803105175342694,-0.004041049361584871,0,validation,raw
0.0079,-0.0018596428077482254,-0.004142252975067543,0,validation,raw
0.008,-0.0019157765967407936,-0.004243476992504545,0,validation,raw
0.0081,-0.001972108379059629,-0.004344721420067052,0,validation,raw
0.0082,-0.0020277169217158453,-0.004445986263928725,0,validation,raw
0.0083,-0.0020829634795884347,-0.004547271530265715,0,validation,raw
0.0084,-0.0021388526390986617,-0.004648577225256663,0,validation,raw
0.0085,-0.0021936573808806477,-0.004749903355082713,0,validation,raw
0.0086,-0.0022483603954584048,-0.004851249925927486,0,validation,raw
0.0087,-0.0023030888843679907,-0.00495261694397711,0,validation,raw
0.0088,-0.0023581740537101568,-0.005054004415420208,0,validation,raw
0.0089,-0.0024124154089638114,-0.005155412346447896,0,validation,raw
0.009,-0.002466608137425714,-0.005256840743253792,0,validation,raw
0.0091,-0.002520988285954978,-0.005358289612034019,0,validation,raw
0.0092,-0.002575448928046674,-0.005459758958987192,0,validation,raw
0.0093,-0.002631022332376797,-0.005561248790314433,0,validation,raw
0.0094,-0.0026839738247853655,-0.005662759112219371,0,validation,raw
0.0095,-0.0027364524066711316,-0.005764289930908136,0,validation,raw
0.0096,-0.002789277567810827,-0.005865841252589366,0,validation,raw
0.0097,-0.002841419687574644,-0.00596741308347421,0,validation,raw
0.0098,-0.00289457190604922,-0.0060690054297763175,0,validation,raw
0.0099,-0.0029466516240523985,-0.006170618297711858,0,validation,raw
0.01,-0.0029996458567887146,-0.006272251693499506,0,validation,raw
0.011,-0.0035170923958577145,-0.007289716053149148,0,validation,raw
0.012,-0.004016741103540944,-0.008309240057251527,0,validation,raw
0.013,-0.004502364684735504,-0.009330829966124122,0,validation,raw
0.014,-0.004974154072520208,-0.010354492065481245,0,validation,raw
0.015,-0.0054309819189609435,-0.011380232666562951,0,validation,raw
0.016,-0.005881288602632301,-0.012408058106264747,0,validation,raw
0.017,-0.006321050327400033,-0.013437974747268069,0,validation,raw
0.018,-0.006744960752256917,-0.014469988978171595,0,validation,raw
0.019,-0.007161973455618648,-0.015504107213623351,0,validation,raw
0.02,-0.007570718716715579,-0.01654033589445358,0,validation,raw
0.021,-0.007976856661879504,-0.017578681487808487,0,validation,raw
0.022,-0.008373316076859979,-0.018619150487284776,0,validation,raw
0.023,-0.008757753153582501,-0.019661749413065,0,validation,raw
0.024,-0.009130197384565965,-0.0207064848120538,0,validation,raw
0.025,-0.009509176316727739,-0.02175336325801488,0,validation,raw
0.026,-0.009883069555430049,-0.02280239135170894,0,validation,raw
0.027,-0.010256083435216739,-0.02385357572103238,0,validation,raw
0.028,-0.010615103637307772,-0.024906923021156904,0,validation,raw
0.029,-0.010972249357962514,-0.02596243993466994,0,validation,raw
0.03,-0.011316151341074871,-0.02702013317171599,0,validation,raw
0.031,-0.011666311102684844,-0.028080009470138813,0,validation,raw
0.032,-0.01201396006590812,-0.02914207559562449,0,validation,raw
0.033,-0.012348371627665243,-0.030206338341845412,0,validation,raw
0.034,-0.012687443420271671,-0.03127280453060508,0,validation,raw
0.035,-0.013026944502204995,-0.03234148101198395,0,validation,raw
0.036,-0.013360445784867836,-0.033412374664486,0,validation,raw
0.037,-0.01369649280253733,-0.034485492395186404,0,validation,raw
0.038,-0.014024577000063055,-0.03556084113987995,0,validation,raw
0.039,-0.014344589746814995,-0.0366384278632305,0,validation,raw
0.04,-0.014661518782397907,-0.037718259558921365,0,validation,raw
0.041,-0.014979057474101535,-0.03880034324980658,0,validation,raw
0.042,-0.015297417818696124,-0.03988468598806316,0,validation,raw
0.043,-0.015614464269257751,-0.04097129485534431,0,validation,raw
0.044,-0.01593140206409782,-0.042060176962933585,0,validation,raw
0.045,-0.016243510116129643,-0.04315133945190001,0,validation,raw
0.046,-0.01655798835977148,-0.0442447894932542,0,validation,raw
0.047,-0.016871688141132234,-0.045340534288105465,0,validation,raw
0.048,-0.01717636429982907,-0.04643858106781986,0,validation,raw
0.049,-0.01748661227983168,-0.0475389370941793,0,validation,raw
0.05,-0.017801854123427288,-0.04864160965954159,0,validation,raw
0.051,-0.018110495414540156,-0.049746606087001585,0,validation,raw
0.052,-0.01841696184905718,-0.05085393373055328,0,validation,raw
0.053,-0.01871955575960125,-0.05196359997525291,0,validation,raw
0.054,-0.019017253108743012,-0.0530756122373832,0,validation,raw
0.055,-0.019316806310236162,-0.05418997796461853,0,validation,raw
0.056,-0.019622153678775022,-0.055306704636191216,0,validation,raw
0.057,-0.019925834132306346,-0.056425799763058865,0,validation,raw
0.058,-0.02022478470764792,-0.05754727088807273,0,validation,raw
0.059,-0.020521045979116068,-0.058671125586147184,0,validation,raw
0.06,-0.020810548399980245,-0.059797371464430316,0,validation,raw
0.061,-0.021105925879533527,-0.060926016162475505,0,validation,raw
0.062,-0.02140816037580254,-0.06205706735241419,0,validation,raw
0.063,-0.021695598530716457,-0.06319053273912968,0,validation,raw
0.064,-0.021990961739247646,-0.06432642006043217,0,validation,raw
0.065,-0.02228900645190238,-0.06546473708723477,0,validation,raw
0.066,-0.022581813790605,-0.06660549162373074,0,validation,raw
0.067,-0.022862478352861496,-0.06774869150757182,0,validation,raw
0.068,-0.023151245808416966,-0.06889434461004776,0,validation,raw
0.069,-0.02343944701211495,-0.07004245883626693,0,validation,raw
0.07,-0.023729378922572833,-0.0711930421253382,0,validation,raw
0.071,-0.02400912920318165,-0.07234610245055383,0,validation,raw
0.072,-0.024295699598844724,-0.07350164781957381,0,validation,raw
0.073,-0.024585317524848327,-0.07465968627461111,0,validation,raw
0.074,-0.024866108767088994,-0.07582022589261826,0,validation,raw
0.075,-0.02515364053825592,-0.07698327478547513,0,validation,raw
0.076,-0.02543824181710105,-0.07814884110017803,0,validation,raw
0.077,-0.025715512922780192,-0.0793169330190298,0,validation,raw
0.078,-0.02600783632225076,-0.08048755875983135,0,validation,raw
0.079,-0.026288277740951018,-0.08166072657607439,0,validation,raw
0.08,-0.02656275613752919,-0.08283644475713534,0,validation,raw
0.081,-0.026839053426720386,-0.08401472162847064,0,validation,raw
0.082,-0.027120225449129662,-0.0851955655518132,0,validation,raw
0.083,-0.027412828681897674,-0.08637898492537023,0,validation,raw
0.084,-0.027694171703001303,-0.08756498818402239,0,validation,raw
0.085,-0.02797095816371623,-0.08875358379952406,0,validation,raw
0.086,-0.02824549256126432,-0.08994478028070514,0,validation,raw
0.087,-0.028526597439612132,-0.09113858617367414,0,validation,raw
0.088,-0.02880279186429177,-0.09233501006202248,0,validation,raw
0.089,-0.029079818479222586,-0.09353406056703018,0,validation,raw
