method,policy_type,policy_target,selected_split,selected_threshold,val_precision,val_recall,val_alerts_per_day,val_f1,test_precision,test_recall,test_alerts_per_day,test_f1,test_kappa,test_tp,test_fp,test_tn,test_fn,notes
raw,precision_floor,0.05,validation_full,0.75,0.050508239156512404,0.471976401179941,87.02747252747253,0.09125128322117029,0.05343326397446516,0.5041936713686619,91.66851851851852,0.09662629915794474,0.09012055672283797,2645,46856,1274678,2601,raw probabilities; threshold selected on full validation
raw,precision_floor,0.1,validation_full,0.91,0.10040410320174076,0.1905604719764012,17.675824175824175,0.13151465798045603,0.1137005006827492,0.23808616088448342,20.34259259259259,0.15390302507547288,0.14935036874978758,1249,9736,1311798,3997,raw probabilities; threshold selected on full validation
raw,precision_floor,0.15,validation_full,0.96,0.15022091310751104,0.06017699115044248,3.730769230769231,0.08593091828138164,0.19481454807346058,0.10312619138391155,5.142592592592592,0.13486227097095851,0.1324877606372267,541,2236,1319298,4705,raw probabilities; threshold selected on full validation
raw,alerts_per_day_cap,5,validation_full,0.96,0.15022091310751104,0.06017699115044248,3.730769230769231,0.08593091828138164,0.19481454807346058,0.10312619138391155,5.142592592592592,0.13486227097095851,0.1324877606372267,541,2236,1319298,4705,raw probabilities; threshold selected on full validation
raw,alerts_per_day_cap,10,validation_full,0.94,0.12269938650306748,0.11799410029498525,8.956043956043956,0.12030075187969924,0.15104257928859297,0.16431566908120473,10.568518518518518,0.15739979914178764,0.15391362681625934,862,4845,1316689,4384,raw probabilities; threshold selected on full validation
raw,alerts_per_day_cap,20,validation_full,0.905,0.09956834532374101,0.20412979351032448,19.093406593406595,0.13384912959381046,0.1088686039695168,0.24780785360274496,22.112962962962964,0.15127712806190727,0.14658836218290247,1300,10641,1310893,3946,raw probabilities; threshold selected on full validation
raw,alerts_per_day_cap,30,validation_full,0.88,0.08663465386154462,0.25545722713864305,27.46153846153846,0.12938891379052742,0.09162771911603484,0.30270682424704537,32.09444444444444,0.14067413739646542,0.13542583307226788,1588,15743,1305791,3658,raw probabilities; threshold selected on full validation
raw,f1_max,NA,validation_full,0.9,0.09727418492784608,0.21474926253687315,20.560439560439562,0.1338973698730918,0.10496596534653466,0.2586732748760961,23.94074074074074,0.14933421371189612,0.1445219540393965,1357,11571,1309963,3889,raw probabilities; threshold selected on full validation
platt,precision_floor,0.05,validation_threshold_select,0.023,0.05014293440469752,0.5805008944543828,142.23076923076923,0.09231206884289879,0.051048125737622,0.519443385436523,98.8537037037037,0.09296058130213042,0.0863822929321955,2725,50656,1270878,2521,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,precision_floor,0.1,validation_threshold_select,0.061,0.10158928014957931,0.29159212880143115,35.26373626373626,0.15068176565749944,0.10464405743965781,0.26115135341212353,24.244444444444444,0.14941651216054094,0.14458715683482348,1370,11722,1309812,3876,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,precision_floor,0.15,validation_threshold_select,0.14,0.1510791366906475,0.07513416815742398,6.1098901098901095,0.10035842293906812,0.20442655935613682,0.0968356843309188,4.601851851851852,0.13141896261803132,0.12920553285013173,508,1977,1319557,4738,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,alerts_per_day_cap,5,validation_threshold_select,0.15,0.17873303167420815,0.0706618962432916,4.857142857142857,0.10128205128205128,0.21483622350674375,0.08501715592832634,3.8444444444444446,0.12182463807702815,0.11985124741853037,446,1630,1319904,4800,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,alerts_per_day_cap,10,validation_threshold_select,0.12,0.14269406392694065,0.11180679785330948,9.626373626373626,0.12537612838515547,0.18092566619915848,0.12295081967213115,6.601851851851852,0.146407899216888,0.14366799187557422,645,2920,1318614,4601,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,alerts_per_day_cap,20,validation_threshold_select,0.086,0.11863458310016788,0.18962432915921287,19.63736263736264,0.1459552495697074,0.13548114800225097,0.18356843309187953,13.162962962962963,0.1559009227780476,0.15204282609733663,963,6145,1315389,4283,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,alerts_per_day_cap,30,validation_threshold_select,0.068,0.10564930300807043,0.25760286225402507,29.956043956043956,0.149843912591051,0.11407298464932439,0.2365611894776973,20.146296296296295,0.15392248062015504,0.1493842975152649,1241,9638,1311896,4005,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,f1_max,NA,validation_threshold_select,0.074,0.11280746395250212,0.23792486583184258,25.912087912087912,0.15304948216340622,0.11997454121141403,0.2155928326343881,17.45740740740741,0.1541607033326518,0.1498413979693401,1131,8296,1313238,4115,platt calibration; threshold selected on threshold-select subset (strict mode)
beta,precision_floor,0.05,validation_threshold_select,0.024,0.05176184690157959,0.5715563506261181,135.65934065934067,0.09492683651489267,0.05246859136434017,0.5102935569958064,94.48333333333333,0.09515346473065918,0.0886183252145979,2677,48344,1273190,2569,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,precision_floor,0.1,validation_threshold_select,0.058,0.10021387106630003,0.29338103756708406,35.967032967032964,0.1493964928262355,0.10352013098161791,0.2651544033549371,24.883333333333333,0.148905422041428,0.1440372047196279,1391,12046,1309488,3855,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,precision_floor,0.15,validation_threshold_select,0.13,0.15526802218114602,0.07513416815742398,5.945054945054945,0.10126582278481013,0.2054850593532542,0.0956919557758292,4.524074074074074,0.1305761477435297,0.12838618322903803,502,1941,1319593,4744,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,alerts_per_day_cap,5,validation_threshold_select,0.14,0.1822429906542056,0.06976744186046512,4.7032967032967035,0.10090556274256145,0.21908127208480566,0.08272969881814717,3.6685185185185185,0.12010516120105161,0.11819372868533098,434,1547,1319987,4812,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,alerts_per_day_cap,10,validation_threshold_select,0.11,0.14427312775330398,0.11717352415026834,9.978021978021978,0.12931885488647585,0.17978752383546717,0.12581014105985514,6.798148148148148,0.14803184927666255,0.14524916125149742,660,3011,1318523,4586,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,alerts_per_day_cap,20,validation_threshold_select,0.081,0.11911357340720222,0.19230769230769232,19.835164835164836,0.14710913445090662,0.13488631608313573,0.18433091879527258,13.275925925925925,0.1557792992347966,0.15190658982469124,967,6202,1315332,4279,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,alerts_per_day_cap,30,validation_threshold_select,0.066,0.106071964017991,0.25313059033989266,29.318681318681318,0.14949815108293713,0.1150842194410464,0.23313000381242852,19.67962962962963,0.1540981540981541,0.14959583357762982,1223,9404,1312130,4023,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,f1_max,NA,validation_threshold_select,0.07,0.11175979983319433,0.23971377459749552,26.35164835164835,0.15244596131968147,0.11976610629633497,0.21864277544796035,17.735185185185184,0.1547594953788032,0.15041881678747368,1147,8430,1313104,4099,beta calibration; threshold selected on threshold-select subset (strict mode)
isotonic,precision_floor,0.05,validation_threshold_select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No threshold satisfies policy constraint
isotonic,precision_floor,0.1,validation_threshold_select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No threshold satisfies policy constraint
isotonic,precision_floor,0.15,validation_threshold_select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No threshold satisfies policy constraint
isotonic,alerts_per_day_cap,5,validation_threshold_select,0.052,0,0,5,NA,0.0011078286558345643,5.71864277544796e-4,5.014814814814815,7.543374402816193e-4,-0.001943187917342007,3,2705,1318829,5243,isotonic calibration; threshold selected on threshold-select subset (strict mode)
isotonic,alerts_per_day_cap,10,validation_threshold_select,0.043,0.0011337868480725624,8.944543828264759e-4,9.692307692307692,0.001,5.79598145285935e-4,5.71864277544796e-4,9.585185185185185,5.757052389176741e-4,-0.00336488668578717,3,5173,1316361,5243,isotonic calibration; threshold selected on threshold-select subset (strict mode)
isotonic,alerts_per_day_cap,20,validation_threshold_select,0.031,5.543237250554324e-4,8.944543828264759e-4,19.824175824175825,6.844626967830253e-4,7.44393784311901e-4,0.0015249714067861228,19.901851851851852,0.001000437691490027,-0.004336546836580548,8,10739,1310795,5238,isotonic calibration; threshold selected on threshold-select subset (strict mode)
isotonic,alerts_per_day_cap,30,validation_threshold_select,0.026,3.7230081906180194e-4,8.944543828264759e-4,29.516483516483518,5.257623554153522e-4,4.995316890415236e-4,0.0015249714067861228,29.65740740740741,7.525516203377075e-4,-0.005235290597967482,8,16007,1305527,5238,isotonic calibration; threshold selected on threshold-select subset (strict mode)
isotonic,f1_max,NA,validation_threshold_select,0.0025,0.008181267254730321,0.4347048300536673,652.7912087912088,0.016060275602260334,0.00606791520649264,0.3970644300419367,635.7055555555555,0.011953162882646107,0.0041970141534721445,2083,341198,980336,3163,isotonic calibration; threshold selected on threshold-select subset (strict mode)
