method,window_id,start_date,end_date,n_days,n_rows,n_positives,threshold,precision,recall,f1,alerts_per_day,note
raw,1,2020-07-01,2020-07-30,30,73710,360,0.91,0.08571428571428572,0.2916666666666667,0.13249211356466878,40.833333333333336,ok
raw,2,2020-07-31,2020-08-29,30,73710,325,0.91,0.06997084548104957,0.22153846153846155,0.10635155096011817,34.3,ok
raw,3,2020-08-30,2020-10-02,30,73710,248,0.91,0.07939189189189189,0.18951612903225806,0.1119047619047619,19.733333333333334,ok
raw,4,2020-10-03,2020-11-01,30,73710,225,0.91,0.11650485436893204,0.10666666666666667,0.11136890951276102,6.866666666666666,ok
raw,5,2020-11-02,2020-12-01,30,73710,154,0.91,0.18446601941747573,0.12337662337662338,0.14785992217898833,3.433333333333333,ok
raw,6,2020-12-02,2020-12-31,30,73710,148,0.91,0.03333333333333333,0.006756756756756757,0.011235955056179775,1,ok
raw,7,2021-01-01,2021-01-30,30,73710,131,0.91,0.015384615384615385,0.007633587786259542,0.010204081632653062,2.1666666666666665,ok
raw,8,2021-01-31,2021-03-04,30,73710,97,0.91,0.07407407407407407,0.041237113402061855,0.052980132450331126,1.8,ok
raw,9,2021-03-05,2021-04-03,30,73710,131,0.91,0.1368421052631579,0.09923664122137404,0.11504424778761062,3.1666666666666665,ok
raw,10,2021-04-04,2021-05-03,30,73710,252,0.91,0.14181818181818182,0.15476190476190477,0.14800759013282733,9.166666666666666,ok
raw,11,2021-05-04,2021-06-02,30,73710,491,0.91,0.14606741573033707,0.21181262729124237,0.17290108063175394,23.733333333333334,ok
raw,12,2021-06-03,2021-07-02,30,73710,539,0.91,0.1492087415222306,0.3673469387755102,0.2122186495176849,44.233333333333334,ok
raw,13,2021-07-03,2021-08-01,30,73710,512,0.91,0.11942098914354644,0.38671875,0.18248847926267278,55.266666666666666,ok
raw,14,2021-08-02,2021-09-02,30,73710,649,0.91,0.13195342820181113,0.31432973805855163,0.18587699316628703,51.53333333333333,ok
raw,15,2021-09-03,2021-10-02,30,73710,502,0.91,0.10845175766641735,0.28884462151394424,0.15769439912996192,44.56666666666667,ok
raw,16,2021-10-03,2021-11-01,30,73710,251,0.91,0.10554561717352415,0.2350597609561753,0.145679012345679,18.633333333333333,ok
raw,17,2021-11-02,2021-12-01,30,73710,131,0.91,0.08196721311475409,0.07633587786259542,0.07905138339920949,4.066666666666666,ok
raw,18,2021-12-02,2021-12-31,30,73710,100,0.91,0.12,0.06,0.08,1.6666666666666667,ok
platt,1,2020-07-01,2020-07-30,30,73710,360,0.061,0.07916666666666666,0.31666666666666665,0.12666666666666668,48,ok
platt,2,2020-07-31,2020-08-29,30,73710,325,0.061,0.061996779388083734,0.23692307692307693,0.0982769623484365,41.4,ok
platt,3,2020-08-30,2020-10-02,30,73710,248,0.061,0.08111888111888112,0.23387096774193547,0.12045690550363447,23.833333333333332,ok
platt,4,2020-10-03,2020-11-01,30,73710,225,0.061,0.128099173553719,0.13777777777777778,0.13276231263383295,8.066666666666666,ok
