bin,bin_lower,bin_upper,bin_midpoint,n,mean_predicted,mean_observed,bin_type,split
1,0,0.1,0.05,260720,0.014618747070094624,0.014130101258057332,equal_width,test_platt_scaled
2,0.1,0.2,0.15000000000000002,2885,0.13573174477016464,0.13934142114384757,equal_width,test_platt_scaled
3,0.2,0.30000000000000004,0.25,590,0.23990053156588556,0.1898305084745763,equal_width,test_platt_scaled
4,0.30000000000000004,0.4,0.35000000000000003,203,0.3439577628503061,0.26108374384236444,equal_width,test_platt_scaled
5,0.4,0.5,0.45,123,0.4480853711784602,0.35772357723577247,equal_width,test_platt_scaled
6,0.5,0.6000000000000001,0.55,88,0.5429399121692433,0.3522727272727273,equal_width,test_platt_scaled
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,34,0.6356946865922712,0.3235294117647059,equal_width,test_platt_scaled
8,0.7000000000000001,0.8,0.75,5,0.726782843521124,0.4,equal_width,test_platt_scaled
9,0.8,0.9,0.8500000000000001,0,0.8500000000000001,NA,equal_width,test_platt_scaled
10,0.9,1,0.95,0,0.95,NA,equal_width,test_platt_scaled
